scale_factor;engine;query;cache_mode;run_index;elapsed_ms;record_count
SF3;fuseki;Q02;cold;24;290525,711;2
SF3;fuseki;Q02;cold;25;290223,860;2
SF3;fuseki;Q02;cold;26;292677,913;2
SF3;fuseki;Q02;cold;27;292373,763;2
SF3;fuseki;Q02;cold;28;291825,601;2
SF3;fuseki;Q02;cold;29;293958,644;2
SF3;fuseki;Q02;cold;30;290444,456;2
SF3;neo4j;Q02;cold;1;3676,473;2
SF3;neo4j;Q02;cold;2;3739,270;2
SF3;neo4j;Q02;cold;3;3773,750;2
SF3;neo4j;Q02;cold;4;3852,315;2
SF3;neo4j;Q02;cold;5;3938,918;2
SF3;neo4j;Q02;cold;6;3792,090;2
SF3;neo4j;Q02;cold;7;3754,660;2
SF3;neo4j;Q02;cold;8;3810,751;2
SF3;neo4j;Q02;cold;9;3766,670;2
SF3;neo4j;Q02;cold;10;3856,387;2
SF3;neo4j;Q02;cold;11;3717,403;2
SF3;neo4j;Q02;cold;12;3724,545;2
SF3;neo4j;Q02;cold;13;3752,174;2
SF3;neo4j;Q02;cold;14;3848,581;2
SF3;neo4j;Q02;cold;15;3717,150;2
SF3;neo4j;Q02;cold;16;3689,653;2
SF3;neo4j;Q02;cold;17;3728,384;2
SF3;neo4j;Q02;cold;18;3827,981;2
SF3;neo4j;Q02;cold;19;3812,688;2
SF3;neo4j;Q02;cold;20;3942,022;2
SF3;neo4j;Q02;cold;21;3791,255;2
SF3;neo4j;Q02;cold;22;3780,802;2
SF3;neo4j;Q02;cold;23;3759,986;2
SF3;neo4j;Q02;cold;24;3785,551;2
SF3;neo4j;Q02;cold;25;3792,914;2
SF3;neo4j;Q02;cold;26;4075,594;2
SF3;neo4j;Q02;cold;27;3818,152;2
SF3;neo4j;Q02;cold;28;3751,403;2
SF3;neo4j;Q02;cold;29;4086,634;2
SF3;neo4j;Q02;cold;30;3823,142;2
SF3;gql;Q02;cold;1;3750,122;2
SF3;gql;Q02;cold;2;3805,829;2
SF3;gql;Q02;cold;3;4047,980;2
SF3;gql;Q02;cold;4;4204,622;2
SF3;gql;Q02;cold;5;5602,548;2
SF3;gql;Q02;cold;6;4124,675;2
SF3;gql;Q02;cold;7;3706,304;2
SF3;gql;Q02;cold;8;3857,462;2
SF3;gql;Q02;cold;9;3772,574;2
SF3;gql;Q02;cold;10;3356,991;2
SF3;gql;Q02;cold;11;3554,287;2
SF3;gql;Q02;cold;12;2903,736;2
SF3;gql;Q02;cold;13;3713,545;2
SF3;gql;Q02;cold;14;3725,805;2
SF3;gql;Q02;cold;15;2835,919;2
SF3;gql;Q02;cold;16;2839,379;2
SF3;gql;Q02;cold;17;2934,329;2
SF3;gql;Q02;cold;18;4167,489;2
SF3;gql;Q02;cold;19;3921,806;2
SF3;gql;Q02;cold;20;3815,743;2
SF3;gql;Q02;cold;21;4422,755;2
SF3;gql;Q02;cold;22;3675,856;2
SF3;gql;Q02;cold;23;4005,322;2
SF3;gql;Q02;cold;24;3766,885;2
SF3;gql;Q02;cold;25;3695,589;2
SF3;gql;Q02;cold;26;3783,336;2
SF3;gql;Q02;cold;27;3849,993;2
SF3;gql;Q02;cold;28;3779,106;2
SF3;gql;Q02;cold;29;3732,368;2
SF3;gql;Q02;cold;30;3790,099;2
SF3;fuseki;Q03;cold;1;20118,516;10
SF3;fuseki;Q03;cold;2;7043,230;10
SF3;fuseki;Q03;cold;3;7000,138;10
SF3;fuseki;Q03;cold;4;7007,853;10
SF3;fuseki;Q03;cold;5;6982,938;10
SF3;fuseki;Q03;cold;6;7212,905;10
SF3;fuseki;Q03;cold;7;6957,097;10
SF3;fuseki;Q03;cold;8;6885,842;10
SF3;fuseki;Q03;cold;9;6950,016;10
SF3;fuseki;Q03;cold;10;6784,347;10
SF3;fuseki;Q03;cold;11;7051,700;10
SF3;fuseki;Q03;cold;12;6848,754;10
SF3;fuseki;Q03;cold;13;7150,270;10
SF3;fuseki;Q03;cold;14;7039,124;10
SF3;fuseki;Q03;cold;15;6818,551;10
SF3;fuseki;Q03;cold;16;6830,927;10
SF3;fuseki;Q03;cold;17;6866,767;10
