scale_factor;engine;query;cache_mode;warmups;repeats;record_count_min;record_count_max;record_count_stable;mean_ms;median_ms;stddev_ms;variance_ms2;min_ms;max_ms;range_ms;coefficient_of_variation;p25_ms;p50_ms;p75_ms;p90_ms;p95_ms;p99_ms
SF01;fuseki;Q01;cold;0;30;1;1;True;331,008;326,184;52,280;2733,240;268,430;483,630;215,200;0,158;287,245;326,184;348,285;416,842;426,465;468,573
SF01;neo4j;Q01;cold;0;30;1;1;True;2460,434;2632,274;466,474;217597,540;1099,941;2809,910;1709,969;0,190;2493,140;2632,274;2680,992;2699,022;2728,220;2790,881
SF01;gql;Q01;cold;0;30;1;1;True;2397,975;2374,577;99,358;9871,914;2276,533;2729,017;452,484;0,041;2328,023;2374,577;2425,300;2513,377;2578,655;2687,391
SF01;fuseki;Q02;cold;0;30;2;2;True;8455,587;8154,896;724,429;524796,918;7943,287;10328,507;2385,219;0,086;8116,498;8154,896;8332,918;10140,370;10269,748;10318,988
SF01;neo4j;Q02;cold;0;30;2;2;True;3225,084;2988,781;1220,127;1488709,001;198,842;8180,156;7981,315;0,378;2945,085;2988,781;3091,732;3536,797;5091,610;7520,349
SF01;gql;Q02;cold;0;30;2;2;True;2971,130;2944,857;103,118;10633,364;2858,631;3372,673;514,042;0,035;2898,745;2944,857;3030,407;3054,585;3077,115;3291,367
SF01;fuseki;Q03;cold;0;30;10;10;True;960,638;929,758;107,797;11620,100;830,426;1339,812;509,386;0,112;885,693;929,758;974,836;1106,176;1124,925;1280,042
SF01;neo4j;Q03;cold;0;30;10;10;True;2722,070;2704,324;85,856;7371,204;2591,361;2996,988;405,627;0,032;2666,073;2704,324;2762,066;2826,294;2852,183;2959,865
SF01;gql;Q03;cold;0;30;10;10;True;2737,226;2716,530;208,810;43601,711;2552,160;3780,693;1228,532;0,076;2669,590;2716,530;2758,243;2813,822;2821,147;3503,549
SF01;fuseki;Q04;cold;0;30;10;10;True;381,329;340,759;89,227;7961,467;312,984;694,663;381,678;0,234;326,066;340,759;411,550;471,190;562,901;671,761
SF01;neo4j;Q04;cold;0;30;10;10;True;2420,348;2388,896;163,309;26669,715;2310,665;3236,048;925,383;0,067;2350,057;2388,896;2431,070;2490,835;2509,483;3027,686
SF01;gql;Q04;cold;0;30;10;10;True;2391,574;2381,077;93,816;8801,420;2229,851;2786,871;557,020;0,039;2346,455;2381,077;2414,662;2453,373;2487,063;2702,822
SF01;fuseki;Q05;cold;0;30;10;10;True;1450,287;1429,043;79,666;6346,669;1353,514;1689,414;335,900;0,055;1396,385;1429,043;1493,611;1547,801;1599,342;1672,639
SF01;neo4j;Q05;cold;0;30;10;10;True;2846,376;2846,290;63,954;4090,085;2761,321;3087,795;326,474;0,022;2791,078;2846,290;2878,364;2895,019;2905,522;3035,683
SF01;gql;Q05;cold;0;30;10;10;True;2832,243;2816,649;74,887;5608,103;2715,116;3037,562;322,446;0,026;2788,307;2816,649;2860,220;2895,922;2994,027;3029,379
SF01;fuseki;Q06;cold;0;30;10;10;True;5565,383;5562,174;78,666;6188,281;5423,586;5731,668;308,082;0,014;5508,753;5562,174;5617,402;5664,590;5682,573;5720,095
SF01;neo4j;Q06;cold;0;30;10;10;True;2877,867;2863,300;69,006;4761,800;2769,535;3053,891;284,356;0,024;2837,660;2863,300;2910,222;2970,716;2991,721;3037,920
SF01;gql;Q06;cold;0;30;10;10;True;2869,288;2863,702;54,032;2919,509;2790,813;2978,211;187,399;0,019;2835,710;2863,702;2906,036;2948,673;2958,309;2972,957
SF01;fuseki;Q07;cold;0;30;10;10;True;2679,042;2659,282;116,055;13468,781;2473,249;2943,971;470,721;0,043;2602,472;2659,282;2750,017;2818,127;2855,055;2922,057
SF01;neo4j;Q07;cold;0;30;10;10;True;2761,667;2765,484;45,176;2040,832;2685,871;2861,255;175,384;0,016;2736,886;2765,484;2782,423;2825,898;2834,387;2853,759
SF01;gql;Q07;cold;0;30;10;10;True;2780,897;2756,749;98,587;9719,483;2633,294;3098,624;465,330;0,035;2720,422;2756,749;2794,486;2933,930;2969,578;3062,504
SF01;fuseki;Q08;cold;0;30;10;10;True;14616,975;14348,649;921,257;848714,071;13920,935;17744,815;3823,880;0,063;14109,796;14348,649;14565,397;15440,828;16842,292;17619,490
SF01;neo4j;Q08;cold;0;30;10;10;True;3142,076;3157,365;66,278;4392,711;3003,353;3317,577;314,224;0,021;3111,140;3157,365;3167,991;3217,633;3223,778;3290,477
SF01;gql;Q08;cold;0;30;10;10;True;3148,487;3142,904;52,172;2721,967;3020,165;3283,610;263,445;0,017;3115,724;3142,904;3180,121;3199,912;3233,379;3269,947
SF01;fuseki;Q09;cold;0;30;10;10;True;6472,669;6351,777;568,621;323330,339;6102,997;8632,942;2529,945;0,088;6266,564;6351,777;6402,362;6482,725;7562,348;8575,331
SF01;neo4j;Q09;cold;0;30;10;10;True;3192,417;3177,453;64,707;4187,060;3083,367;3333,162;249,795;0,020;3138,903;3177,453;3247,446;3272,493;3294,607;3326,482
