scale_factor;engine;query;cache_mode;run_index;elapsed_ms;record_count
SF03;fuseki;Q01;cold;1;461,198;1
SF03;fuseki;Q01;cold;2;439,002;1
SF03;fuseki;Q01;cold;3;472,885;1
SF03;fuseki;Q01;cold;4;446,795;1
SF03;fuseki;Q01;cold;5;513,151;1
SF03;fuseki;Q01;cold;6;457,549;1
SF03;fuseki;Q01;cold;7;509,918;1
SF03;fuseki;Q01;cold;8;438,618;1
SF03;fuseki;Q01;cold;9;473,266;1
SF03;fuseki;Q01;cold;10;480,465;1
SF03;fuseki;Q01;cold;11;439,885;1
SF03;fuseki;Q01;cold;12;431,294;1
SF03;fuseki;Q01;cold;13;442,805;1
SF03;fuseki;Q01;cold;14;479,048;1
SF03;fuseki;Q01;cold;15;457,747;1
SF03;fuseki;Q01;cold;16;453,795;1
SF03;fuseki;Q01;cold;17;441,934;1
SF03;fuseki;Q01;cold;18;456,374;1
SF03;fuseki;Q01;cold;19;456,849;1
SF03;fuseki;Q01;cold;20;462,023;1
SF03;fuseki;Q01;cold;21;613,223;1
SF03;fuseki;Q01;cold;22;472,767;1
SF03;fuseki;Q01;cold;23;482,262;1
SF03;fuseki;Q01;cold;24;489,121;1
SF03;fuseki;Q01;cold;25;452,077;1
SF03;fuseki;Q01;cold;26;472,265;1
SF03;fuseki;Q01;cold;27;447,223;1
SF03;fuseki;Q01;cold;28;431,318;1
SF03;fuseki;Q01;cold;29;439,545;1
SF03;fuseki;Q01;cold;30;453,532;1
SF03;neo4j;Q01;cold;1;1051,203;1
SF03;neo4j;Q01;cold;2;2392,192;1
SF03;neo4j;Q01;cold;3;2337,884;1
SF03;neo4j;Q01;cold;4;2345,151;1
SF03;neo4j;Q01;cold;5;2430,822;1
SF03;neo4j;Q01;cold;6;2346,093;1
SF03;neo4j;Q01;cold;7;2345,073;1
SF03;neo4j;Q01;cold;8;2376,598;1
SF03;neo4j;Q01;cold;9;2357,264;1
SF03;neo4j;Q01;cold;10;2324,346;1
SF03;neo4j;Q01;cold;11;2320,369;1
SF03;neo4j;Q01;cold;12;2393,929;1
SF03;neo4j;Q01;cold;13;2430,300;1
SF03;neo4j;Q01;cold;14;2357,195;1
SF03;neo4j;Q01;cold;15;2352,104;1
SF03;neo4j;Q01;cold;16;2388,011;1
SF03;neo4j;Q01;cold;17;2353,942;1
SF03;neo4j;Q01;cold;18;2494,907;1
SF03;neo4j;Q01;cold;19;2445,576;1
SF03;neo4j;Q01;cold;20;2424,796;1
SF03;neo4j;Q01;cold;21;2407,843;1
SF03;neo4j;Q01;cold;22;2410,617;1
SF03;neo4j;Q01;cold;23;2284,441;1
SF03;neo4j;Q01;cold;24;2395,667;1
SF03;neo4j;Q01;cold;25;2388,652;1
SF03;neo4j;Q01;cold;26;2369,501;1
SF03;neo4j;Q01;cold;27;2383,960;1
SF03;neo4j;Q01;cold;28;2353,842;1
SF03;neo4j;Q01;cold;29;2333,370;1
SF03;neo4j;Q01;cold;30;2382,146;1
SF03;gql;Q01;cold;1;2364,367;1
SF03;gql;Q01;cold;2;2428,158;1
SF03;gql;Q01;cold;3;2398,923;1
SF03;gql;Q01;cold;4;2357,597;1
SF03;gql;Q01;cold;5;2391,208;1
SF03;gql;Q01;cold;6;2350,613;1
SF03;gql;Q01;cold;7;2412,864;1
SF03;gql;Q01;cold;8;2352,650;1
SF03;gql;Q01;cold;9;2418,406;1
SF03;gql;Q01;cold;10;2905,525;1
SF03;gql;Q01;cold;11;2411,719;1
SF03;gql;Q01;cold;12;2398,939;1
SF03;gql;Q01;cold;13;2369,482;1
SF03;gql;Q01;cold;14;2380,073;1
SF03;gql;Q01;cold;15;2450,861;1
SF03;gql;Q01;cold;16;2472,259;1
SF03;gql;Q01;cold;17;2387,850;1
SF03;gql;Q01;cold;18;2469,105;1
SF03;gql;Q01;cold;19;2413,033;1
SF03;gql;Q01;cold;20;2357,071;1
SF03;gql;Q01;cold;21;2339,710;1
SF03;gql;Q01;cold;22;2369,205;1
SF03;gql;Q01;cold;23;2351,963;1
SF03;gql;Q01;cold;24;2420,897;1
SF03;gql;Q01;cold;25;2409,067;1
SF03;gql;Q01;cold;26;2315,175;1
SF03;gql;Q01;cold;27;2434,137;1
SF03;gql;Q01;cold;28;2419,293;1
SF03;gql;Q01;cold;29;2349,865;1
SF03;gql;Q01;cold;30;2393,420;1
SF03;fuseki;Q02;cold;1;23596,339;2
SF03;fuseki;Q02;cold;2;23148,688;2
SF03;fuseki;Q02;cold;3;23654,919;2
SF03;fuseki;Q02;cold;4;23144,998;2
SF03;fuseki;Q02;cold;5;22977,655;2
SF03;fuseki;Q02;cold;6;23059,439;2
SF03;fuseki;Q02;cold;7;23062,679;2
SF03;fuseki;Q02;cold;8;23162,362;2
SF03;fuseki;Q02;cold;9;23445,468;2
SF03;fuseki;Q02;cold;10;23200,361;2
SF03;fuseki;Q02;cold;11;23543,958;2
SF03;fuseki;Q02;cold;12;23386,281;2
SF03;fuseki;Q02;cold;13;23382,669;2
SF03;fuseki;Q02;cold;14;23129,512;2
SF03;fuseki;Q02;cold;15;23204,703;2
SF03;fuseki;Q02;cold;16;23386,438;2
SF03;fuseki;Q02;cold;17;23091,023;2
SF03;fuseki;Q02;cold;18;23371,249;2
SF03;fuseki;Q02;cold;19;22826,721;2
SF03;fuseki;Q02;cold;20;23186,400;2
SF03;fuseki;Q02;cold;21;23239,099;2
SF03;fuseki;Q02;cold;22;22943,145;2
SF03;fuseki;Q02;cold;23;23063,213;2
SF03;fuseki;Q02;cold;24;23204,548;2
SF03;fuseki;Q02;cold;25;23140,946;2
SF03;fuseki;Q02;cold;26;23159,613;2
SF03;fuseki;Q02;cold;27;23403,583;2
SF03;fuseki;Q02;cold;28;23503,584;2
SF03;fuseki;Q02;cold;29;23186,436;2
SF03;fuseki;Q02;cold;30;23281,604;2
SF03;neo4j;Q02;cold;1;2911,332;2
SF03;neo4j;Q02;cold;2;2723,536;2
SF03;neo4j;Q02;cold;3;2697,350;2
SF03;neo4j;Q02;cold;4;2666,613;2
SF03;neo4j;Q02;cold;5;2652,401;2
SF03;neo4j;Q02;cold;6;2646,562;2
