scale_factor;engine;query;cache_mode;warmups;repeats;record_count_min;record_count_max;record_count_stable;mean_ms;median_ms;stddev_ms;variance_ms2;min_ms;max_ms;range_ms;coefficient_of_variation;p25_ms;p50_ms;p75_ms;p90_ms;p95_ms;p99_ms
SF0.3;fuseki;Q01;warm;10;30;1;1;True;211,762;187,147;107,281;11509,118;84,292;614,966;530,673;0,507;147,238;187,147;227,402;331,082;392,197;556,423
SF0.3;neo4j;Q01;warm;10;30;1;1;True;3,194;2,951;0,562;0,316;2,597;4,547;1,950;0,176;2,726;2,951;3,597;4,105;4,139;4,435
SF0.3;gql;Q01;warm;10;30;1;1;True;3,938;2,873;4,569;20,874;2,295;27,930;25,635;1,160;2,639;2,873;3,658;4,096;4,273;21,072
SF0.3;fuseki;Q02;warm;10;30;2;2;True;1143,021;1129,344;73,826;5450,318;1058,606;1399,813;341,208;0,065;1087,280;1129,344;1182,886;1224,612;1243,575;1354,952
SF0.3;neo4j;Q02;warm;10;30;2;2;True;22,177;21,362;4,570;20,885;19,992;46,001;26,009;0,206;20,952;21,362;21,851;22,453;23,356;39,488
SF0.3;gql;Q02;warm;10;30;2;2;True;21,622;21,054;1,590;2,529;19,898;26,071;6,173;0,074;20,607;21,054;22,178;22,766;25,638;26,069
SF0.3;fuseki;Q03;warm;10;30;10;10;True;325,636;314,113;24,261;588,591;297,567;373,877;76,310;0,075;305,330;314,113;346,996;363,995;365,189;371,376
SF0.3;neo4j;Q03;warm;10;30;10;10;True;60,792;55,214;15,829;250,561;47,943;129,296;81,353;0,260;50,763;55,214;67,697;73,281;76,314;114,037
SF0.3;gql;Q03;warm;10;30;10;10;True;49,667;48,390;4,048;16,388;43,769;64,536;20,767;0,082;47,229;48,390;50,740;54,161;55,866;62,085
SF0.3;fuseki;Q04;warm;10;30;10;10;True;32,582;30,704;6,351;40,334;28,370;62,026;33,656;0,195;29,777;30,704;32,696;35,861;40,541;56,765
SF0.3;neo4j;Q04;warm;10;30;10;10;True;7,045;6,459;3,401;11,564;5,278;24,482;19,204;0,483;5,759;6,459;7,059;7,691;8,200;19,825
SF0.3;gql;Q04;warm;10;30;10;10;True;10,166;6,317;13,675;187,016;4,959;78,306;73,347;1,345;5,579;6,317;8,445;12,317;23,846;63,117
SF0.3;fuseki;Q05;warm;10;30;10;10;True;205,254;195,811;22,917;525,204;186,323;287,340;101,017;0,112;189,583;195,811;214,285;224,388;248,148;277,802
SF0.3;neo4j;Q05;warm;10;30;10;10;True;29,244;26,426;11,982;143,573;19,307;79,802;60,496;0,410;23,522;26,426;30,165;34,326;47,394;73,442
SF0.3;gql;Q05;warm;10;30;10;10;True;21,536;20,423;3,313;10,977;18,767;33,875;15,108;0,154;19,312;20,423;22,061;25,080;27,377;32,025
SF0.3;fuseki;Q06;warm;10;30;10;10;True;2382,610;2388,184;37,771;1426,686;2322,222;2482,916;160,693;0,016;2347,454;2388,184;2400,533;2433,784;2437,885;2470,787
SF0.3;neo4j;Q06;warm;10;30;10;10;True;239,443;233,428;15,576;242,624;221,789;268,406;46,617;0,065;227,252;233,428;253,236;265,317;266,710;268,025
SF0.3;gql;Q06;warm;10;30;10;10;True;235,211;229,274;17,065;291,202;221,338;290,040;68,702;0,073;226,698;229,274;233,142;263,131;275,795;287,491
SF0.3;fuseki;Q07;warm;10;30;10;10;True;4251,592;4100,074;257,490;66300,870;3984,514;4719,498;734,983;0,061;4051,238;4100,074;4505,146;4632,511;4713,311;4717,906
SF0.3;neo4j;Q07;warm;10;30;10;10;True;5,596;4,661;3,836;14,711;3,465;23,850;20,385;0,685;4,198;4,661;5,407;5,853;10,024;20,703
SF0.3;gql;Q07;warm;10;30;10;10;True;4,105;4,091;0,457;0,209;3,204;5,171;1,966;0,111;3,812;4,091;4,406;4,645;4,792;5,070
SF0.3;fuseki;Q08;warm;10;30;10;10;True;7816,193;8049,505;529,891;280784,987;7059,554;8460,599;1401,045;0,068;7237,907;8049,505;8288,134;8402,735;8431,950;8454,625
SF0.3;neo4j;Q08;warm;10;30;10;10;True;321,319;313,496;23,280;541,939;298,977;390,827;91,850;0,072;305,709;313,496;324,958;350,838;372,574;387,346
SF0.3;gql;Q08;warm;10;30;10;10;True;307,745;306,873;7,938;63,018;289,692;330,274;40,581;0,026;303,470;306,873;309,864;316,492;322,559;328,307
SF0.3;fuseki;Q09;warm;10;30;10;10;True;15121,185;15093,949;191,963;36849,713;14898,156;15925,463;1027,307;0,013;15020,709;15093,949;15167,920;15244,769;15377,421;15772,802
SF0.3;neo4j;Q09;warm;10;30;10;10;True;322,391;309,321;51,462;2648,380;289,330;549,047;259,718;0,160;295,350;309,321;327,916;338,071;396,393;517,604
SF0.3;gql;Q09;warm;10;30;10;10;True;311,398;305,499;22,194;492,586;290,331;396,477;106,145;0,071;297,234;305,499;318,546;329,499;349,909;385,064
SF0.3;fuseki;Q10;warm;10;30;10;10;True;201,942;196,786;16,801;282,282;190,188;266,298;76,110;0,083;194,400;196,786;201,662;208,228;234,017;263,044
SF0.3;neo4j;Q10;warm;10;30;10;10;True;23,433;21,980;3,571;12,749;19,769;32,756;12,987;0,152;20,727;21,980;25,199;28,471;30,426;32,403
SF0.3;gql;Q10;warm;10;30;10;10;True;21,394;20,861;3,162;9,997;18,380;34,746;16,366;0,148;19,603;20,861;21,724;24,586;25,280;32,136
