scale_factor;engine;query;cache_mode;run_index;elapsed_ms;record_count
SF1;fuseki;Q01;cold;1;624,162;1
SF1;fuseki;Q01;cold;2;693,569;1
SF1;fuseki;Q01;cold;3;746,900;1
SF1;fuseki;Q01;cold;4;621,865;1
SF1;fuseki;Q01;cold;5;671,262;1
SF1;fuseki;Q01;cold;6;620,404;1
SF1;fuseki;Q01;cold;7;681,798;1
SF1;fuseki;Q01;cold;8;611,077;1
SF1;fuseki;Q01;cold;9;668,007;1
SF1;fuseki;Q01;cold;10;625,243;1
SF1;fuseki;Q01;cold;11;689,444;1
SF1;fuseki;Q01;cold;12;681,826;1
SF1;fuseki;Q01;cold;13;651,386;1
SF1;fuseki;Q01;cold;14;634,953;1
SF1;fuseki;Q01;cold;15;709,115;1
SF1;fuseki;Q01;cold;16;764,840;1
SF1;fuseki;Q01;cold;17;722,430;1
SF1;fuseki;Q01;cold;18;705,821;1
SF1;fuseki;Q01;cold;19;717,687;1
SF1;fuseki;Q01;cold;20;613,401;1
SF1;fuseki;Q01;cold;21;631,056;1
SF1;fuseki;Q01;cold;22;616,207;1
SF1;fuseki;Q01;cold;23;627,939;1
SF1;fuseki;Q01;cold;24;646,032;1
SF1;fuseki;Q01;cold;25;664,227;1
SF1;fuseki;Q01;cold;26;636,190;1
SF1;fuseki;Q01;cold;27;710,579;1
SF1;fuseki;Q01;cold;28;682,494;1
SF1;fuseki;Q01;cold;29;672,214;1
SF1;fuseki;Q01;cold;30;622,191;1
SF1;neo4j;Q01;cold;1;1080,008;1
SF1;neo4j;Q01;cold;2;913,220;1
SF1;neo4j;Q01;cold;3;913,699;1
SF1;neo4j;Q01;cold;4;2479,245;1
SF1;neo4j;Q01;cold;5;2365,340;1
SF1;neo4j;Q01;cold;6;2387,696;1
SF1;neo4j;Q01;cold;7;2445,595;1
SF1;neo4j;Q01;cold;8;2309,043;1
SF1;neo4j;Q01;cold;9;2350,052;1
SF1;neo4j;Q01;cold;10;2436,042;1
SF1;neo4j;Q01;cold;11;2328,384;1
SF1;neo4j;Q01;cold;12;2346,076;1
SF1;neo4j;Q01;cold;13;2336,640;1
SF1;neo4j;Q01;cold;14;2400,305;1
SF1;neo4j;Q01;cold;15;2455,568;1
SF1;neo4j;Q01;cold;16;2538,708;1
SF1;neo4j;Q01;cold;17;2619,367;1
SF1;neo4j;Q01;cold;18;2370,310;1
SF1;neo4j;Q01;cold;19;2479,566;1
SF1;neo4j;Q01;cold;20;2445,625;1
SF1;neo4j;Q01;cold;21;2408,184;1
SF1;neo4j;Q01;cold;22;2411,549;1
SF1;neo4j;Q01;cold;23;2413,119;1
SF1;neo4j;Q01;cold;24;2365,299;1
SF1;neo4j;Q01;cold;25;2301,699;1
SF1;neo4j;Q01;cold;26;2407,254;1
SF1;neo4j;Q01;cold;27;2408,034;1
SF1;neo4j;Q01;cold;28;2400,008;1
SF1;neo4j;Q01;cold;29;2330,797;1
SF1;neo4j;Q01;cold;30;2371,494;1
SF1;gql;Q01;cold;1;2382,769;1
SF1;gql;Q01;cold;2;2413,035;1
SF1;gql;Q01;cold;3;2526,677;1
SF1;gql;Q01;cold;4;2398,396;1
SF1;gql;Q01;cold;5;2451,007;1
SF1;gql;Q01;cold;6;2591,427;1
SF1;gql;Q01;cold;7;2402,739;1
SF1;gql;Q01;cold;8;2331,237;1
SF1;gql;Q01;cold;9;2352,023;1
SF1;gql;Q01;cold;10;2479,827;1
SF1;gql;Q01;cold;11;2338,004;1
SF1;gql;Q01;cold;12;2355,636;1
SF1;gql;Q01;cold;13;2342,963;1
SF1;gql;Q01;cold;14;2314,471;1
SF1;gql;Q01;cold;15;2367,958;1
SF1;gql;Q01;cold;16;2351,680;1
SF1;gql;Q01;cold;17;2434,857;1
SF1;gql;Q01;cold;18;2343,993;1
SF1;gql;Q01;cold;19;2429,597;1
SF1;gql;Q01;cold;20;2359,663;1
SF1;gql;Q01;cold;21;2333,883;1
SF1;gql;Q01;cold;22;2340,009;1
SF1;gql;Q01;cold;23;2349,669;1
SF1;gql;Q01;cold;24;2353,398;1
SF1;gql;Q01;cold;25;2548,109;1
