scale_factor;engine;query;cache_mode;warmups;repeats;record_count_min;record_count_max;record_count_stable;mean_ms;median_ms;stddev_ms;variance_ms2;min_ms;max_ms;range_ms;coefficient_of_variation;p25_ms;p50_ms;p75_ms;p90_ms;p95_ms;p99_ms
SF0.1;fuseki;Q01;warm;10;30;1;1;True;30,024;23,013;28,353;803,875;11,175;159,349;148,174;0,944;14,526;23,013;33,193;46,190;64,998;132,422
SF0.1;neo4j;Q01;warm;10;30;1;1;True;8,186;4,307;12,304;151,389;2,679;64,754;62,075;1,503;3,542;4,307;6,652;12,795;26,095;56,008
SF0.1;gql;Q01;warm;10;30;1;1;True;79,037;4,313;408,695;167031,284;2,636;2242,922;2240,286;5,171;3,651;4,313;5,179;5,996;7,761;1594,750
SF0.1;fuseki;Q02;warm;10;30;2;2;True;480,783;443,093;149,920;22475,955;354,112;1049,238;695,126;0,312;389,155;443,093;510,008;596,058;750,636;995,328
SF0.1;neo4j;Q02;warm;10;30;2;2;True;11,383;10,751;2,740;7,508;9,207;23,521;14,314;0,241;10,034;10,751;11,520;13,008;15,198;21,563
SF0.1;gql;Q02;warm;10;30;2;2;True;11,655;10,281;6,813;46,419;8,813;46,490;37,677;0,585;9,457;10,281;11,077;11,661;15,515;38,391
SF0.1;fuseki;Q03;warm;10;30;10;10;True;106,120;103,237;16,069;258,219;88,170;146,598;58,428;0,151;91,665;103,237;115,141;127,961;133,751;143,908
SF0.1;neo4j;Q03;warm;10;30;10;10;True;25,332;22,596;16,197;262,359;7,945;90,223;82,278;0,639;15,547;22,596;28,971;36,911;48,971;80,811
SF0.1;gql;Q03;warm;10;30;10;10;True;61,118;15,764;105,964;11228,352;7,522;551,851;544,328;1,734;9,384;15,764;102,124;142,063;144,710;434,400
SF0.1;fuseki;Q04;warm;10;30;10;10;True;50,692;19,589;75,690;5728,937;16,207;267,285;251,078;1,493;18,409;19,589;24,480;212,900;237,945;262,847
SF0.1;neo4j;Q04;warm;10;30;10;10;True;19,615;12,100;17,587;309,286;6,217;80,704;74,487;0,897;10,739;12,100;20,313;52,573;54,015;73,051
SF0.1;gql;Q04;warm;10;30;10;10;True;9,274;7,186;5,325;28,356;5,796;25,114;19,318;0,574;6,510;7,186;8,876;19,357;22,247;24,406
SF0.1;fuseki;Q05;warm;10;30;10;10;True;214,745;208,775;35,449;1256,647;175,970;344,346;168,376;0,165;193,589;208,775;220,433;257,609;269,528;325,342
SF0.1;neo4j;Q05;warm;10;30;10;10;True;27,023;20,403;17,018;289,604;13,140;83,495;70,354;0,630;18,330;20,403;31,955;42,601;65,961;80,917
SF0.1;gql;Q05;warm;10;30;10;10;True;26,245;18,109;20,338;413,647;11,909;102,328;90,419;0,775;16,167;18,109;28,423;47,661;66,238;96,057
SF0.1;fuseki;Q06;warm;10;30;10;10;True;904,184;895,846;25,051;627,569;876,369;970,550;94,181;0,028;884,238;895,846;921,139;938,083;949,777;965,601
SF0.1;neo4j;Q06;warm;10;30;10;10;True;79,499;66,052;65,873;4339,317;61,584;427,347;365,763;0,829;64,514;66,052;70,270;74,076;80,586;328,083
SF0.1;gql;Q06;warm;10;30;10;10;True;82,850;67,641;44,191;1952,834;63,421;265,769;202,348;0,533;65,456;67,641;75,757;89,653;168,004;249,949
SF0.1;fuseki;Q07;warm;10;30;10;10;True;1498,340;1488,135;35,643;1270,455;1444,981;1597,251;152,270;0,024;1474,351;1488,135;1515,857;1545,903;1569,988;1589,825
SF0.1;neo4j;Q07;warm;10;30;10;10;True;3,269;3,028;0,636;0,405;2,726;5,823;3,097;0,195;2,864;3,028;3,607;3,897;4,057;5,335
SF0.1;gql;Q07;warm;10;30;10;10;True;4,067;3,018;4,668;21,793;2,517;28,655;26,138;1,148;2,868;3,018;3,555;4,295;4,311;21,598
SF0.1;fuseki;Q08;warm;10;30;10;10;True;14788,715;14845,353;1247,132;1555337,863;13466,596;18603,686;5137,090;0,084;13669,859;14845,353;15521,515;16205,644;16633,572;18101,479
SF0.1;neo4j;Q08;warm;10;30;10;10;True;168,997;102,091;238,054;56669,825;57,633;1349,584;1291,951;1,409;86,106;102,091;155,196;204,394;385,308;1105,670
SF0.1;gql;Q08;warm;10;30;10;10;True;69,547;66,025;15,044;226,318;55,380;107,127;51,747;0,216;57,546;66,025;72,579;94,888;96,389;104,027
SF0.1;fuseki;Q09;warm;10;30;10;10;True;4632,654;4602,159;162,300;26341,447;4480,773;5398,445;917,672;0,035;4568,900;4602,159;4653,778;4714,605;4780,754;5221,402
SF0.1;neo4j;Q09;warm;10;30;10;10;True;102,888;92,564;30,422;925,482;87,731;211,287;123,556;0,296;90,763;92,564;96,477;116,639;178,639;208,239
SF0.1;gql;Q09;warm;10;30;10;10;True;107,793;93,340;47,811;2285,858;87,854;330,421;242,567;0,444;90,041;93,340;97,587;126,918;172,084;294,657
SF0.1;fuseki;Q10;warm;10;30;10;10;True;207,494;198,445;25,293;639,753;187,429;296,603;109,174;0,122;190,875;198,445;209,997;238,518;255,155;286,297
SF0.1;neo4j;Q10;warm;10;30;10;10;True;12,320;9,732;7,176;51,500;7,720;37,483;29,764;0,582;8,717;9,732;11,738;19,149;27,662;36,600
SF0.1;gql;Q10;warm;10;30;10;10;True;12,880;8,741;10,950;119,899;6,716;45,738;39,021;0,850;7,859;8,741;10,232;24,958;43,006;45,224
