scale_factor;engine;query;cache_mode;run_index;elapsed_ms;record_count
SF1;fuseki;Q02;warm;27;63684,654;2
SF1;fuseki;Q02;warm;28;61543,416;2
SF1;fuseki;Q02;warm;29;59598,030;2
SF1;fuseki;Q02;warm;30;64814,071;2
SF1;neo4j;Q02;warm;1;143,597;2
SF1;neo4j;Q02;warm;2;61,904;2
SF1;neo4j;Q02;warm;3;83,344;2
SF1;neo4j;Q02;warm;4;84,254;2
SF1;neo4j;Q02;warm;5;76,597;2
SF1;neo4j;Q02;warm;6;92,360;2
SF1;neo4j;Q02;warm;7;65,738;2
SF1;neo4j;Q02;warm;8;103,805;2
SF1;neo4j;Q02;warm;9;63,216;2
SF1;neo4j;Q02;warm;10;72,181;2
SF1;neo4j;Q02;warm;11;67,902;2
SF1;neo4j;Q02;warm;12;67,936;2
SF1;neo4j;Q02;warm;13;70,923;2
SF1;neo4j;Q02;warm;14;66,650;2
SF1;neo4j;Q02;warm;15;63,596;2
SF1;neo4j;Q02;warm;16;72,915;2
SF1;neo4j;Q02;warm;17;92,859;2
SF1;neo4j;Q02;warm;18;77,277;2
SF1;neo4j;Q02;warm;19;112,606;2
SF1;neo4j;Q02;warm;20;83,643;2
SF1;neo4j;Q02;warm;21;66,488;2
SF1;neo4j;Q02;warm;22;274,735;2
SF1;neo4j;Q02;warm;23;71,958;2
SF1;neo4j;Q02;warm;24;75,389;2
SF1;neo4j;Q02;warm;25;76,702;2
SF1;neo4j;Q02;warm;26;258,327;2
SF1;neo4j;Q02;warm;27;61,472;2
SF1;neo4j;Q02;warm;28;65,142;2
SF1;neo4j;Q02;warm;29;68,512;2
SF1;neo4j;Q02;warm;30;66,880;2
SF1;gql;Q02;warm;1;64,391;2
SF1;gql;Q02;warm;2;64,683;2
SF1;gql;Q02;warm;3;63,733;2
SF1;gql;Q02;warm;4;61,727;2
SF1;gql;Q02;warm;5;58,428;2
SF1;gql;Q02;warm;6;67,571;2
SF1;gql;Q02;warm;7;64,599;2
SF1;gql;Q02;warm;8;64,966;2
SF1;gql;Q02;warm;9;65,690;2
SF1;gql;Q02;warm;10;69,689;2
SF1;gql;Q02;warm;11;69,926;2
SF1;gql;Q02;warm;12;71,021;2
SF1;gql;Q02;warm;13;69,565;2
SF1;gql;Q02;warm;14;63,345;2
SF1;gql;Q02;warm;15;71,455;2
SF1;gql;Q02;warm;16;68,785;2
SF1;gql;Q02;warm;17;65,915;2
SF1;gql;Q02;warm;18;64,246;2
SF1;gql;Q02;warm;19;84,654;2
SF1;gql;Q02;warm;20;64,645;2
SF1;gql;Q02;warm;21;67,493;2
SF1;gql;Q02;warm;22;63,660;2
SF1;gql;Q02;warm;23;67,842;2
SF1;gql;Q02;warm;24;68,496;2
SF1;gql;Q02;warm;25;107,121;2
SF1;gql;Q02;warm;26;64,926;2
SF1;gql;Q02;warm;27;103,748;2
SF1;gql;Q02;warm;28;88,080;2
SF1;gql;Q02;warm;29;60,843;2
SF1;gql;Q02;warm;30;71,120;2
SF1;fuseki;Q03;warm;1;1375,832;10
SF1;fuseki;Q03;warm;2;3888,704;10
SF1;fuseki;Q03;warm;3;2516,864;10
SF1;fuseki;Q03;warm;4;2283,039;10
SF1;fuseki;Q03;warm;5;1145,414;10
SF1;fuseki;Q03;warm;6;1139,850;10
SF1;fuseki;Q03;warm;7;1751,715;10
SF1;fuseki;Q03;warm;8;2507,410;10
SF1;fuseki;Q03;warm;9;1621,581;10
SF1;fuseki;Q03;warm;10;1406,242;10
SF1;fuseki;Q03;warm;11;1329,495;10
SF1;fuseki;Q03;warm;12;1210,549;10
SF1;fuseki;Q03;warm;13;1431,432;10
SF1;fuseki;Q03;warm;14;1547,581;10
SF1;fuseki;Q03;warm;15;1348,874;10
SF1;fuseki;Q03;warm;16;1401,390;10
SF1;fuseki;Q03;warm;17;1223,425;10
SF1;fuseki;Q03;warm;18;1108,474;10
SF1;fuseki;Q03;warm;19;1101,994;10
SF1;fuseki;Q03;warm;20;1107,581;10
SF1;fuseki;Q03;warm;21;1123,776;10
SF1;fuseki;Q03;warm;22;1093,145;10
SF1;fuseki;Q03;warm;23;1159,475;10
SF1;fuseki;Q03;warm;24;1128,781;10
SF1;fuseki;Q03;warm;25;1146,484;10
SF1;fuseki;Q03;warm;26;1138,724;10
SF1;fuseki;Q03;warm;27;1182,567;10
SF1;fuseki;Q03;warm;28;1365,862;10
SF1;fuseki;Q03;warm;29;1264,614;10
SF1;fuseki;Q03;warm;30;1209,290;10
SF1;neo4j;Q03;warm;1;313,729;10
SF1;neo4j;Q03;warm;2;334,601;10
SF1;neo4j;Q03;warm;3;203,856;10
SF1;neo4j;Q03;warm;4;462,524;10
SF1;neo4j;Q03;warm;5;183,834;10
SF1;neo4j;Q03;warm;6;148,512;10
SF1;neo4j;Q03;warm;7;157,377;10
SF1;neo4j;Q03;warm;8;109,932;10
SF1;neo4j;Q03;warm;9;415,705;10
SF1;neo4j;Q03;warm;10;4892,253;10
SF1;neo4j;Q03;warm;11;149,651;10
SF1;neo4j;Q03;warm;12;111,125;10
SF1;neo4j;Q03;warm;13;447,595;10
SF1;neo4j;Q03;warm;14;2102,352;10
SF1;neo4j;Q03;warm;15;94,362;10
SF1;neo4j;Q03;warm;16;93,355;10
SF1;neo4j;Q03;warm;17;130,353;10
SF1;neo4j;Q03;warm;18;85,135;10
SF1;neo4j;Q03;warm;19;93,794;10
SF1;neo4j;Q03;warm;20;692,670;10
SF1;neo4j;Q03;warm;21;119,293;10
SF1;neo4j;Q03;warm;22;148,535;10
SF1;neo4j;Q03;warm;23;95,571;10
SF1;neo4j;Q03;warm;24;90,184;10
SF1;neo4j;Q03;warm;25;121,221;10
SF1;neo4j;Q03;warm;26;158,143;10
SF1;neo4j;Q03;warm;27;88,736;10
SF1;neo4j;Q03;warm;28;108,983;10
SF1;neo4j;Q03;warm;29;85,503;10
SF1;neo4j;Q03;warm;30;420,410;10
SF1;gql;Q03;warm;1;99,595;10
SF1;gql;Q03;warm;2;101,643;10
SF1;gql;Q03;warm;3;101,961;10
SF1;gql;Q03;warm;4;374,664;10
SF1;gql;Q03;warm;5;632,064;10
SF1;gql;Q03;warm;6;120,772;10
SF1;gql;Q03;warm;7;91,597;10
SF1;gql;Q03;warm;8;86,809;10
SF1;gql;Q03;warm;9;89,206;10
SF1;gql;Q03;warm;10;92,507;10
SF1;gql;Q03;warm;11;110,619;10
SF1;gql;Q03;warm;12;101,795;10
SF1;gql;Q03;warm;13;496,085;10
SF1;gql;Q03;warm;14;950,332;10
SF1;gql;Q03;warm;15;807,815;10
SF1;gql;Q03;warm;16;1658,526;10
SF1;gql;Q03;warm;17;2834,185;10
SF1;gql;Q03;warm;18;824,844;10
SF1;gql;Q03;warm;19;620,234;10
SF1;gql;Q03;warm;20;1127,960;10
SF1;gql;Q03;warm;21;273,235;10
SF1;gql;Q03;warm;22;487,076;10
SF1;gql;Q03;warm;23;100,448;10
SF1;gql;Q03;warm;24;93,145;10
SF1;gql;Q03;warm;25;97,711;10
SF1;gql;Q03;warm;26;115,250;10
SF1;gql;Q03;warm;27;151,224;10
SF1;gql;Q03;warm;28;148,738;10
SF1;gql;Q03;warm;29;125,265;10
SF1;gql;Q03;warm;30;212,753;10
SF1;fuseki;Q04;warm;1;156,322;10
SF1;fuseki;Q04;warm;2;92,323;10
SF1;fuseki;Q04;warm;3;90,488;10
SF1;fuseki;Q04;warm;4;112,730;10
SF1;fuseki;Q04;warm;5;115,137;10
SF1;fuseki;Q04;warm;6;86,261;10
SF1;fuseki;Q04;warm;7;91,095;10
SF1;fuseki;Q04;warm;8;173,382;10
SF1;fuseki;Q04;warm;9;81,985;10
SF1;fuseki;Q04;warm;10;85,950;10
SF1;fuseki;Q04;warm;11;89,744;10
SF1;fuseki;Q04;warm;12;88,911;10
SF1;fuseki;Q04;warm;13;91,884;10
SF1;fuseki;Q04;warm;14;86,457;10
SF1;fuseki;Q04;warm;15;84,914;10
SF1;fuseki;Q04;warm;16;77,589;10
SF1;fuseki;Q04;warm;17;75,922;10
SF1;fuseki;Q04;warm;18;72,375;10
SF1;fuseki;Q04;warm;19;71,551;10
SF1;fuseki;Q04;warm;20;71,658;10
SF1;fuseki;Q04;warm;21;71,491;10
SF1;fuseki;Q04;warm;22;70,755;10
SF1;fuseki;Q04;warm;23;73,578;10
SF1;fuseki;Q04;warm;24;71,686;10
SF1;fuseki;Q04;warm;25;72,787;10
SF1;fuseki;Q04;warm;26;694,517;10
SF1;fuseki;Q04;warm;27;73,569;10
SF1;fuseki;Q04;warm;28;74,358;10
SF1;fuseki;Q04;warm;29;71,288;10
SF1;fuseki;Q04;warm;30;641,856;10
SF1;neo4j;Q04;warm;1;12,294;10
SF1;neo4j;Q04;warm;2;16,045;10
SF1;neo4j;Q04;warm;3;12,758;10
SF1;neo4j;Q04;warm;4;174,051;10
SF1;neo4j;Q04;warm;5;11,507;10
SF1;neo4j;Q04;warm;6;51,011;10
SF1;neo4j;Q04;warm;7;9,854;10
SF1;neo4j;Q04;warm;8;9,898;10
SF1;neo4j;Q04;warm;9;11,007;10
SF1;neo4j;Q04;warm;10;10,437;10
SF1;neo4j;Q04;warm;11;9,344;10
SF1;neo4j;Q04;warm;12;10,392;10
SF1;neo4j;Q04;warm;13;9,572;10
SF1;neo4j;Q04;warm;14;11,341;10
SF1;neo4j;Q04;warm;15;22,575;10
SF1;neo4j;Q04;warm;16;11,113;10
SF1;neo4j;Q04;warm;17;10,525;10
SF1;neo4j;Q04;warm;18;219,563;10
SF1;neo4j;Q04;warm;19;10,289;10
SF1;neo4j;Q04;warm;20;14,187;10
SF1;neo4j;Q04;warm;21;9,679;10
SF1;neo4j;Q04;warm;22;11,328;10
SF1;neo4j;Q04;warm;23;9,365;10
SF1;neo4j;Q04;warm;24;9,752;10
SF1;neo4j;Q04;warm;25;10,513;10
SF1;neo4j;Q04;warm;26;9,962;10
SF1;neo4j;Q04;warm;27;72,809;10
SF1;neo4j;Q04;warm;28;9,664;10
SF1;neo4j;Q04;warm;29;10,065;10
SF1;neo4j;Q04;warm;30;12,454;10
SF1;gql;Q04;warm;1;8,359;10
SF1;gql;Q04;warm;2;8,287;10
SF1;gql;Q04;warm;3;8,956;10
SF1;gql;Q04;warm;4;8,345;10
SF1;gql;Q04;warm;5;9,835;10
SF1;gql;Q04;warm;6;10,038;10
SF1;gql;Q04;warm;7;8,313;10
SF1;gql;Q04;warm;8;8,959;10
SF1;gql;Q04;warm;9;8,735;10
SF1;gql;Q04;warm;10;8,863;10
SF1;gql;Q04;warm;11;8,328;10
SF1;gql;Q04;warm;12;9,453;10
SF1;gql;Q04;warm;13;9,321;10
SF1;gql;Q04;warm;14;9,060;10
SF1;gql;Q04;warm;15;8,962;10
SF1;gql;Q04;warm;16;8,140;10
SF1;gql;Q04;warm;17;9,580;10
SF1;gql;Q04;warm;18;16,981;10
SF1;gql;Q04;warm;19;8,409;10
SF1;gql;Q04;warm;20;10,355;10
SF1;gql;Q04;warm;21;8,778;10
SF1;gql;Q04;warm;22;7,869;10
SF1;gql;Q04;warm;23;10,328;10
SF1;gql;Q04;warm;24;10,226;10
SF1;gql;Q04;warm;25;8,660;10
SF1;gql;Q04;warm;26;10,668;10
SF1;gql;Q04;warm;27;8,236;10
SF1;gql;Q04;warm;28;13,422;10
SF1;gql;Q04;warm;29;11,567;10
SF1;gql;Q04;warm;30;8,769;10
SF1;fuseki;Q05;warm;1;750,552;10
SF1;fuseki;Q05;warm;2;756,179;10
SF1;fuseki;Q05;warm;3;755,262;10
SF1;fuseki;Q05;warm;4;781,134;10
SF1;fuseki;Q05;warm;5;782,589;10
SF1;fuseki;Q05;warm;6;745,856;10
