scale_factor;engine;query;cache_mode;warmups;repeats;record_count_min;record_count_max;record_count_stable;mean_ms;median_ms;stddev_ms;variance_ms2;min_ms;max_ms;range_ms;coefficient_of_variation;p25_ms;p50_ms;p75_ms;p90_ms;p95_ms;p99_ms
SF1;fuseki;Q01;warm;10;30;1;1;True;102,370;57,654;126,131;15909,129;39,514;621,926;582,412;1,232;48,158;57,654;89,148;160,396;349,796;571,539
SF1;neo4j;Q01;warm;10;30;1;1;True;10,517;3,979;23,278;541,843;2,545;127,115;124,570;2,213;3,005;3,979;5,649;18,241;29,457;101,442
SF1;gql;Q01;warm;10;30;1;1;True;9,553;3,762;21,175;448,401;2,925;113,316;110,391;2,217;3,438;3,762;4,608;7,466;34,848;93,017
SF1;fuseki;Q02;warm;10;30;2;2;True;61998,276;61967,486;3183,180;10132638,077;57510,619;70731,808;13221,189;0,051;59112,991;61967,486;63796,629;64923,563;67085,044;70007,782
SF1;neo4j;Q02;warm;10;30;2;2;True;90,297;72,548;51,020;2603,051;61,472;274,735;213,263;0,565;66,707;72,548;84,101;115,705;206,699;269,977
SF1;gql;Q02;warm;10;30;2;2;True;70,079;66,704;11,342;128,642;58,428;107,121;48,693;0,162;64,443;66,704;69,867;84,997;96,697;106,143
SF1;fuseki;Q03;warm;10;30;10;10;True;1475,339;1244,020;601,064;361278,145;1093,145;3888,704;2795,560;0,407;1141,241;1244,020;1425,135;2305,476;2512,610;3490,871
SF1;neo4j;Q03;warm;10;30;10;10;True;421,976;148,524;924,869;855382,338;85,135;4892,253;4807,118;2,192;98,924;148,524;329,383;485,538;1467,995;4083,182
SF1;gql;Q03;warm;10;30;10;10;True;437,602;137,002;595,303;354385,864;86,809;2834,185;2747,376;1,360;100,746;137,002;589,197;968,095;1419,771;2493,244
SF1;fuseki;Q04;warm;10;30;10;10;True;127,085;85,432;149,157;22247,891;70,755;694,517;623,762;1,174;72,983;85,432;91,687;158,028;431,043;679,245
SF1;neo4j;Q04;warm;10;30;10;10;True;27,112;10,766;48,393;2341,836;9,344;219,563;210,219;1,785;9,914;10,766;12,682;53,191;128,492;206,364
SF1;gql;Q04;warm;10;30;10;10;True;9,527;8,958;1,832;3,357;7,869;16,981;9,112;0,192;8,372;8,958;9,987;10,758;12,587;15,949
SF1;fuseki;Q05;warm;10;30;10;10;True;764,424;751,691;27,889;777,822;733,058;838,890;105,832;0,036;745,690;751,691;781,236;804,992;818,841;834,457
SF1;neo4j;Q05;warm;10;30;10;10;True;95,345;69,503;101,771;10357,341;63,223;625,043;561,820;1,067;66,044;69,503;76,953;105,736;130,163;484,930
SF1;gql;Q05;warm;10;30;10;10;True;71,880;66,075;19,815;392,626;60,778;147,952;87,174;0,276;64,664;66,075;67,783;73,432;112,669;145,336
SF1;fuseki;Q06;warm;10;30;10;10;True;9024,196;8279,205;1497,291;2241879,503;7820,481;12852,612;5032,132;0,166;8036,179;8279,205;9892,821;11398,664;12324,682;12781,130
SF1;neo4j;Q06;warm;10;30;10;10;True;1341,101;1304,935;100,962;10193,327;1231,386;1700,518;469,132;0,075;1283,986;1304,935;1351,164;1429,001;1543,094;1669,566
SF1;gql;Q06;warm;10;30;10;10;True;1276,944;1264,183;44,226;1955,904;1227,102;1444,733;217,630;0,035;1248,785;1264,183;1301,287;1323,586;1333,251;1412,650
SF1;fuseki;Q07;warm;10;30;10;10;True;13097,940;12925,595;605,619;366774,326;12746,115;15581,092;2834,977;0,046;12826,308;12925,595;13031,284;13268,399;14370,424;15240,682
SF1;neo4j;Q07;warm;10;30;10;10;True;6,073;5,570;2,347;5,510;4,297;15,582;11,285;0,387;5,022;5,570;5,987;6,785;10,288;14,812
SF1;gql;Q07;warm;10;30;10;10;True;6,320;5,929;1,942;3,772;4,207;13,910;9,703;0,307;5,101;5,929;6,719;8,511;9,159;12,596
SF1;fuseki;Q08;warm;10;30;10;10;True;48836,115;45850,637;9751,349;95088803,861;43946,982;88801,266;44854,285;0,200;45126,273;45850,637;46686,700;51021,323;69892,770;84095,309
SF1;neo4j;Q08;warm;10;30;10;10;True;2518,622;2514,669;325,294;105816,277;1935,187;2949,640;1014,453;0,129;2250,940;2514,669;2806,493;2899,976;2932,870;2949,479
SF1;gql;Q08;warm;10;30;10;10;True;2624,789;2630,522;333,626;111306,467;2015,189;3314,834;1299,646;0,127;2348,499;2630,522;2868,886;2975,604;3030,985;3237,818
SF1;fuseki;Q09;warm;10;30;10;10;True;56391,007;55355,236;3612,145;13047589,739;54436,656;71868,150;17431,494;0,064;55138,118;55355,236;55934,409;56968,848;62480,576;70324,895
SF1;neo4j;Q09;warm;10;30;10;10;True;1381,488;1356,063;129,979;16894,588;1274,051;2038,406;764,355;0,094;1333,307;1356,063;1384,938;1401,939;1452,055;1873,957
SF1;gql;Q09;warm;10;30;10;10;True;1396,033;1359,212;210,928;44490,679;1313,643;2503,032;1189,389;0,151;1339,995;1359,212;1369,926;1411,047;1421,706;2189,750
SF1;fuseki;Q10;warm;10;30;10;10;True;812,479;805,948;18,876;356,296;780,342;860,479;80,137;0,023;800,023;805,948;823,699;837,644;841,157;855,489
SF1;neo4j;Q10;warm;10;30;10;10;True;92,396;84,078;15,550;241,806;80,189;135,691;55,502;0,168;82,021;84,078;94,456;120,218;123,859;132,541
SF1;gql;Q10;warm;10;30;10;10;True;83,519;81,471;7,500;56,243;77,838;115,904;38,066;0,090;80,234;81,471;83,571;85,495;94,997;112,054
