scale_factor;engine;query;cache_mode;run_index;elapsed_ms;record_count
SF3;fuseki;Q01;warm;1;129,779;1
SF3;fuseki;Q01;warm;2;110,990;1
SF3;fuseki;Q01;warm;3;135,632;1
SF3;fuseki;Q01;warm;4;128,715;1
SF3;fuseki;Q01;warm;5;133,154;1
SF3;fuseki;Q01;warm;6;112,144;1
SF3;fuseki;Q01;warm;7;118,901;1
SF3;fuseki;Q01;warm;8;109,697;1
SF3;fuseki;Q01;warm;9;130,480;1
SF3;fuseki;Q01;warm;10;112,093;1
SF3;fuseki;Q01;warm;11;152,339;1
SF3;fuseki;Q01;warm;12;208,584;1
SF3;fuseki;Q01;warm;13;179,017;1
SF3;fuseki;Q01;warm;14;127,576;1
SF3;fuseki;Q01;warm;15;152,296;1
SF3;fuseki;Q01;warm;16;127,743;1
SF3;fuseki;Q01;warm;17;119,618;1
SF3;fuseki;Q01;warm;18;114,903;1
SF3;fuseki;Q01;warm;19;115,830;1
SF3;fuseki;Q01;warm;20;128,082;1
SF3;fuseki;Q01;warm;21;109,052;1
SF3;fuseki;Q01;warm;22;107,739;1
SF3;fuseki;Q01;warm;23;115,195;1
SF3;fuseki;Q01;warm;24;106,694;1
SF3;fuseki;Q01;warm;25;142,068;1
SF3;fuseki;Q01;warm;26;120,907;1
SF3;fuseki;Q01;warm;27;119,500;1
SF3;fuseki;Q01;warm;28;107,061;1
SF3;fuseki;Q01;warm;29;116,177;1
SF3;fuseki;Q01;warm;30;123,897;1
SF3;neo4j;Q01;warm;1;7,016;1
SF3;neo4j;Q01;warm;2;7,667;1
SF3;neo4j;Q01;warm;3;6,866;1
SF3;neo4j;Q01;warm;4;6,046;1
SF3;neo4j;Q01;warm;5;5,799;1
SF3;neo4j;Q01;warm;6;7,723;1
SF3;neo4j;Q01;warm;7;6,361;1
SF3;neo4j;Q01;warm;8;5,962;1
SF3;neo4j;Q01;warm;9;6,353;1
SF3;neo4j;Q01;warm;10;5,057;1
SF3;neo4j;Q01;warm;11;5,442;1
SF3;neo4j;Q01;warm;12;5,810;1
SF3;neo4j;Q01;warm;13;6,595;1
SF3;neo4j;Q01;warm;14;5,718;1
SF3;neo4j;Q01;warm;15;5,520;1
SF3;neo4j;Q01;warm;16;6,156;1
SF3;neo4j;Q01;warm;17;6,090;1
SF3;neo4j;Q01;warm;18;4,277;1
SF3;neo4j;Q01;warm;19;4,731;1
SF3;neo4j;Q01;warm;20;6,021;1
SF3;neo4j;Q01;warm;21;21,833;1
SF3;neo4j;Q01;warm;22;5,434;1
SF3;neo4j;Q01;warm;23;6,011;1
SF3;neo4j;Q01;warm;24;5,304;1
SF3;neo4j;Q01;warm;25;6,944;1
SF3;neo4j;Q01;warm;26;5,751;1
SF3;neo4j;Q01;warm;27;6,052;1
SF3;neo4j;Q01;warm;28;6,900;1
SF3;neo4j;Q01;warm;29;5,127;1
SF3;neo4j;Q01;warm;30;6,374;1
SF3;gql;Q01;warm;1;5,589;1
SF3;gql;Q01;warm;2;3,986;1
SF3;gql;Q01;warm;3;4,902;1
SF3;gql;Q01;warm;4;4,684;1
SF3;gql;Q01;warm;5;93,657;1
SF3;gql;Q01;warm;6;4,719;1
SF3;gql;Q01;warm;7;5,222;1
SF3;gql;Q01;warm;8;6,676;1
SF3;gql;Q01;warm;9;5,643;1
SF3;gql;Q01;warm;10;4,712;1
SF3;gql;Q01;warm;11;5,257;1
SF3;gql;Q01;warm;12;5,571;1
SF3;gql;Q01;warm;13;5,500;1
SF3;gql;Q01;warm;14;5,489;1
SF3;gql;Q01;warm;15;7,032;1
SF3;gql;Q01;warm;16;6,015;1
SF3;gql;Q01;warm;17;6,152;1
SF3;gql;Q01;warm;18;5,202;1
SF3;gql;Q01;warm;19;7,917;1
SF3;gql;Q01;warm;20;6,292;1
SF3;gql;Q01;warm;21;5,079;1
SF3;gql;Q01;warm;22;5,755;1
SF3;gql;Q01;warm;23;5,348;1
SF3;gql;Q01;warm;24;8,283;1
SF3;gql;Q01;warm;25;5,849;1
SF3;gql;Q01;warm;26;5,581;1
SF3;gql;Q01;warm;27;10,646;1
SF3;gql;Q01;warm;28;7,126;1
SF3;gql;Q01;warm;29;6,283;1
SF3;gql;Q01;warm;30;5,970;1
SF3;fuseki;Q02;warm;1;232293,475;2
SF3;fuseki;Q02;warm;2;232990,388;2
SF3;fuseki;Q02;warm;3;228466,815;2
SF3;fuseki;Q02;warm;4;229627,980;2
SF3;fuseki;Q02;warm;5;228934,261;2
SF3;fuseki;Q02;warm;6;227428,864;2
SF3;fuseki;Q02;warm;7;229276,364;2
SF3;fuseki;Q02;warm;8;227831,206;2
SF3;fuseki;Q02;warm;9;225850,045;2
SF3;fuseki;Q02;warm;10;223286,104;2
SF3;fuseki;Q02;warm;11;227864,240;2
SF3;fuseki;Q02;warm;12;227726,034;2
SF3;fuseki;Q02;warm;13;226319,537;2
SF3;fuseki;Q02;warm;14;226891,429;2
SF3;fuseki;Q02;warm;15;228020,804;2
SF3;fuseki;Q02;warm;16;229137,558;2
SF3;fuseki;Q02;warm;17;227961,724;2
SF3;fuseki;Q02;warm;18;226760,965;2
SF3;fuseki;Q02;warm;19;225364,911;2
SF3;fuseki;Q02;warm;20;226783,018;2
SF3;fuseki;Q02;warm;21;230295,170;2
SF3;fuseki;Q02;warm;22;231213,696;2
SF3;fuseki;Q02;warm;23;228484,114;2
SF3;fuseki;Q02;warm;24;229367,872;2
SF3;fuseki;Q02;warm;25;230569,524;2
SF3;fuseki;Q02;warm;26;229000,004;2
SF3;fuseki;Q02;warm;27;230382,795;2
SF3;fuseki;Q02;warm;28;228281,214;2
SF3;fuseki;Q02;warm;29;228634,788;2
SF3;fuseki;Q02;warm;30;228693,401;2
SF3;neo4j;Q02;warm;1;229,136;2
SF3;neo4j;Q02;warm;2;166,505;2
SF3;neo4j;Q02;warm;3;174,159;2
SF3;neo4j;Q02;warm;4;169,549;2
SF3;neo4j;Q02;warm;5;169,060;2
SF3;neo4j;Q02;warm;6;164,559;2
SF3;neo4j;Q02;warm;7;169,487;2
SF3;neo4j;Q02;warm;8;172,823;2
SF3;neo4j;Q02;warm;9;161,777;2
SF3;neo4j;Q02;warm;10;162,339;2
SF3;neo4j;Q02;warm;11;174,602;2
SF3;neo4j;Q02;warm;12;158,549;2
SF3;neo4j;Q02;warm;13;161,053;2
SF3;neo4j;Q02;warm;14;161,393;2
SF3;neo4j;Q02;warm;15;167,618;2
SF3;neo4j;Q02;warm;16;162,581;2
SF3;neo4j;Q02;warm;17;166,182;2
SF3;neo4j;Q02;warm;18;166,905;2
SF3;neo4j;Q02;warm;19;163,686;2
SF3;neo4j;Q02;warm;20;167,667;2
SF3;neo4j;Q02;warm;21;165,741;2
SF3;neo4j;Q02;warm;22;163,772;2
SF3;neo4j;Q02;warm;23;169,875;2
SF3;neo4j;Q02;warm;24;169,261;2
SF3;neo4j;Q02;warm;25;173,198;2
SF3;neo4j;Q02;warm;26;162,795;2
SF3;neo4j;Q02;warm;27;214,328;2
SF3;neo4j;Q02;warm;28;162,538;2
SF3;neo4j;Q02;warm;29;167,927;2
SF3;neo4j;Q02;warm;30;164,449;2
SF3;gql;Q02;warm;1;163,122;2
SF3;gql;Q02;warm;2;201,471;2
SF3;gql;Q02;warm;3;176,374;2
SF3;gql;Q02;warm;4;163,514;2
SF3;gql;Q02;warm;5;165,810;2
SF3;gql;Q02;warm;6;175,545;2
SF3;gql;Q02;warm;7;168,066;2
SF3;gql;Q02;warm;8;173,772;2
SF3;gql;Q02;warm;9;166,085;2
SF3;gql;Q02;warm;10;174,859;2
SF3;gql;Q02;warm;11;174,811;2
SF3;gql;Q02;warm;12;160,891;2
SF3;gql;Q02;warm;13;166,937;2
SF3;gql;Q02;warm;14;171,610;2
SF3;gql;Q02;warm;15;164,067;2
SF3;gql;Q02;warm;16;162,314;2
SF3;gql;Q02;warm;17;166,325;2
SF3;gql;Q02;warm;18;160,447;2
SF3;gql;Q02;warm;19;165,801;2
SF3;gql;Q02;warm;20;166,214;2
SF3;gql;Q02;warm;21;165,611;2
SF3;gql;Q02;warm;22;186,395;2
SF3;gql;Q02;warm;23;175,410;2
SF3;gql;Q02;warm;24;163,580;2
SF3;gql;Q02;warm;25;173,079;2
SF3;gql;Q02;warm;26;162,409;2
SF3;gql;Q02;warm;27;167,541;2
SF3;gql;Q02;warm;28;172,761;2
SF3;gql;Q02;warm;29;171,458;2
SF3;gql;Q02;warm;30;162,770;2
SF3;fuseki;Q03;warm;1;3909,361;10
SF3;fuseki;Q03;warm;2;3969,732;10
SF3;fuseki;Q03;warm;3;3918,012;10
SF3;fuseki;Q03;warm;4;4099,159;10
SF3;fuseki;Q03;warm;5;3911,958;10
SF3;fuseki;Q03;warm;6;3978,217;10
SF3;fuseki;Q03;warm;7;4008,455;10
SF3;fuseki;Q03;warm;8;3975,736;10
SF3;fuseki;Q03;warm;9;3947,406;10
SF3;fuseki;Q03;warm;10;3956,816;10
SF3;fuseki;Q03;warm;11;3944,159;10
SF3;fuseki;Q03;warm;12;4051,875;10
SF3;fuseki;Q03;warm;13;3899,819;10
SF3;fuseki;Q03;warm;14;3993,156;10
SF3;fuseki;Q03;warm;15;3918,385;10
SF3;fuseki;Q03;warm;16;3980,110;10
SF3;fuseki;Q03;warm;17;3947,367;10
SF3;fuseki;Q03;warm;18;4023,548;10
SF3;fuseki;Q03;warm;19;4014,988;10
SF3;fuseki;Q03;warm;20;3971,414;10
SF3;fuseki;Q03;warm;21;3942,420;10
SF3;fuseki;Q03;warm;22;4013,726;10
SF3;fuseki;Q03;warm;23;3923,630;10
SF3;fuseki;Q03;warm;24;3945,194;10
SF3;fuseki;Q03;warm;25;3967,850;10
SF3;fuseki;Q03;warm;26;3945,304;10
SF3;fuseki;Q03;warm;27;4002,801;10
SF3;fuseki;Q03;warm;28;4019,215;10
SF3;fuseki;Q03;warm;29;3898,658;10
SF3;fuseki;Q03;warm;30;4019,722;10
SF3;neo4j;Q03;warm;1;14885,659;10
SF3;neo4j;Q03;warm;2;14632,384;10
SF3;neo4j;Q03;warm;3;15345,222;10
SF3;neo4j;Q03;warm;4;15161,643;10
SF3;neo4j;Q03;warm;5;15068,883;10
