scale_factor;engine;query;cache_mode;warmups;repeats;record_count_min;record_count_max;record_count_stable;mean_ms;median_ms;stddev_ms;variance_ms2;min_ms;max_ms;range_ms;coefficient_of_variation;p25_ms;p50_ms;p75_ms;p90_ms;p95_ms;p99_ms
SF1;fuseki;Q01;cold;0;30;1;1;True;665,477;666,117;42,550;1810,475;611,077;764,840;153,763;0,064;625,917;666,117;692,537;718,162;735,888;759,637
SF1;neo4j;Q01;cold;0;30;1;1;True;2260,598;2393,852;443,712;196880,170;913,220;2619,367;1706,148;0,196;2338,999;2393,852;2430,311;2479,277;2512,094;2595,976
SF1;gql;Q01;cold;0;30;1;1;True;2392,879;2361,550;69,408;4817,522;2314,471;2591,427;276,956;0,029;2343,221;2361,550;2426,988;2484,512;2538,464;2578,865
SF1;fuseki;Q02;cold;0;30;2;2;True;82078,869;81154,013;2281,889;5207019,371;79770,064;89590,678;9820,614;0,028;80909,071;81154,013;81759,319;85432,074;86645,504;88820,974
SF1;neo4j;Q02;cold;0;30;2;2;True;2835,447;2800,782;152,831;23357,241;2669,359;3398,762;729,403;0,054;2751,857;2800,782;2855,425;3060,687;3106,085;3318,322
SF1;gql;Q02;cold;0;30;2;2;True;2782,457;2747,656;134,099;17982,521;2664,956;3412,377;747,421;0,048;2711,215;2747,656;2817,485;2839,034;2885,837;3270,739
SF1;fuseki;Q03;cold;0;30;10;10;True;2993,633;3007,644;79,008;6242,194;2818,754;3225,964;407,210;0,026;2969,472;3007,644;3031,604;3053,599;3062,767;3180,463
SF1;neo4j;Q03;cold;0;30;10;10;True;3485,985;3220,336;875,094;765788,744;3127,561;7509,274;4381,713;0,251;3183,404;3220,336;3251,462;3807,602;4892,570;6757,429
SF1;gql;Q03;cold;0;30;10;10;True;5380,750;4148,185;2335,092;5452656,173;3144,989;9558,919;6413,930;0,434;3258,150;4148,185;7787,252;8373,884;8453,065;9250,825
SF1;fuseki;Q04;cold;0;30;10;10;True;795,952;786,528;44,875;2013,770;734,353;936,687;202,334;0,056;764,518;786,528;813,907;860,266;867,247;917,446
SF1;neo4j;Q04;cold;0;30;10;10;True;2465,039;2454,359;68,235;4656,033;2385,103;2667,105;282,001;0,028;2419,638;2454,359;2502,492;2527,165;2601,696;2649,993
SF1;gql;Q04;cold;0;30;10;10;True;2458,727;2448,405;61,421;3772,492;2371,155;2718,607;347,453;0,025;2420,578;2448,405;2482,811;2500,639;2519,885;2664,662
SF1;fuseki;Q05;cold;0;30;10;10;True;2634,872;2652,643;119,565;14295,839;2418,743;2861,551;442,808;0,045;2551,077;2652,643;2725,050;2770,627;2795,723;2843,262
SF1;neo4j;Q05;cold;0;30;10;10;True;3128,672;3124,130;61,130;3736,860;3019,123;3229,185;210,063;0,020;3068,237;3124,130;3181,246;3201,933;3210,866;3225,776
SF1;gql;Q05;cold;0;30;10;10;True;3150,535;3130,909;111,903;12522,268;3004,739;3649,257;644,518;0,036;3091,532;3130,909;3176,706;3229,832;3252,399;3535,557
SF1;fuseki;Q06;cold;0;30;10;10;True;44829,557;45568,183;7642,182;58402951,503;36212,656;62246,636;26033,980;0,170;37382,760;45568,183;47268,627;57481,821;58704,080;61338,162
SF1;neo4j;Q06;cold;0;30;10;10;True;8864,565;4626,109;6382,477;40736016,513;4435,387;21187,215;16751,829;0,720;4543,000;4626,109;12365,564;19421,449;19775,430;20792,988
SF1;gql;Q06;cold;0;30;10;10;True;7973,569;6312,344;4126,411;17027269,392;4455,706;20352,924;15897,218;0,518;4530,173;6312,344;10295,039;12592,322;14986,517;19313,009
SF1;fuseki;Q07;cold;0;30;10;10;True;15225,491;15268,191;476,214;226780,014;14375,972;16405,651;2029,679;0,031;14831,403;15268,191;15511,835;15778,938;16032,835;16355,221
SF1;neo4j;Q07;cold;0;30;10;10;True;2942,917;2807,938;322,525;104022,443;2678,219;3659,990;981,771;0,110;2757,317;2807,938;2907,591;3532,536;3628,808;3652,017
SF1;gql;Q07;cold;0;30;10;10;True;2843,706;2816,729;159,714;25508,580;2730,473;3629,063;898,590;0,056;2773,506;2816,729;2854,192;2910,250;2945,172;3434,494
SF1;fuseki;Q08;cold;0;30;10;10;True;52655,788;46927,015;25399,668;645143121,897;43349,865;182825,693;139475,828;0,482;46125,358;46927,015;48014,298;54273,404;68433,501;152671,817
SF1;neo4j;Q08;cold;0;30;10;10;True;6072,306;5846,483;404,946;163981,110;5654,041;7024,717;1370,676;0,067;5699,941;5846,483;6478,452;6538,814;6556,022;6889,876
SF1;gql;Q08;cold;0;30;10;10;True;5855,973;5731,374;385,775;148822,001;5561,415;7504,390;1942,975;0,066;5689,351;5731,374;5846,190;6053,569;6565,708;7252,638
SF1;fuseki;Q09;cold;0;30;10;10;True;56630,764;55907,855;2602,340;6772171,061;53650,220;61892,694;8242,474;0,046;54365,938;55907,855;57824,294;60700,411;61189,529;61727,825
SF1;neo4j;Q09;cold;0;30;10;10;True;5571,719;4805,673;1177,957;1387581,943;4502,008;7879,547;3377,539;0,211;4641,263;4805,673;6480,368;7568,428;7602,669;7802,357
SF1;gql;Q09;cold;0;30;10;10;True;5200,959;4609,481;1301,658;1694313,916;4458,441;9198,411;4739,970;0,250;4531,477;4609,481;4994,306;7001,290;8362,213;9021,580
SF1;fuseki;Q10;cold;0;30;10;10;True;1897,559;1894,385;75,078;5636,706;1796,397;2103,058;306,661;0,040;1839,399;1894,385;1928,514;1969,949;2054,935;2093,805
SF1;neo4j;Q10;cold;0;30;10;10;True;3454,200;3416,345;201,994;40801,376;3293,120;4412,961;1119,840;0,058;3357,065;3416,345;3461,321;3540,308;3658,453;4220,039
SF1;gql;Q10;cold;0;30;10;10;True;3419,218;3395,148;138,901;19293,448;3283,197;4041,440;758,243;0,041;3349,459;3395,148;3440,996;3490,974;3571,144;3920,335
