scale_factor;engine;query;cache_mode;run_index;elapsed_ms;record_count
SF01;fuseki;Q01;cold;1;343,834;1
SF01;fuseki;Q01;cold;2;368,521;1
SF01;fuseki;Q01;cold;3;356,229;1
SF01;fuseki;Q01;cold;4;360,625;1
SF01;fuseki;Q01;cold;5;349,769;1
SF01;fuseki;Q01;cold;6;277,306;1
SF01;fuseki;Q01;cold;7;278,804;1
SF01;fuseki;Q01;cold;8;269,822;1
SF01;fuseki;Q01;cold;9;268,430;1
SF01;fuseki;Q01;cold;10;286,235;1
SF01;fuseki;Q01;cold;11;290,276;1
SF01;fuseki;Q01;cold;12;273,510;1
SF01;fuseki;Q01;cold;13;277,511;1
SF01;fuseki;Q01;cold;14;280,923;1
SF01;fuseki;Q01;cold;15;307,158;1
SF01;fuseki;Q01;cold;16;334,437;1
SF01;fuseki;Q01;cold;17;420,054;1
SF01;fuseki;Q01;cold;18;431,710;1
SF01;fuseki;Q01;cold;19;416,485;1
SF01;fuseki;Q01;cold;20;483,630;1
SF01;fuseki;Q01;cold;21;325,801;1
SF01;fuseki;Q01;cold;22;320,088;1
SF01;fuseki;Q01;cold;23;326,567;1
SF01;fuseki;Q01;cold;24;329,007;1
SF01;fuseki;Q01;cold;25;318,042;1
SF01;fuseki;Q01;cold;26;323,742;1
SF01;fuseki;Q01;cold;27;343,350;1
SF01;fuseki;Q01;cold;28;328,540;1
SF01;fuseki;Q01;cold;29;310,638;1
SF01;fuseki;Q01;cold;30;329,184;1
SF01;neo4j;Q01;cold;1;1124,936;1
SF01;neo4j;Q01;cold;2;1151,071;1
SF01;neo4j;Q01;cold;3;1099,941;1
SF01;neo4j;Q01;cold;4;2697,960;1
SF01;neo4j;Q01;cold;5;2593,465;1
SF01;neo4j;Q01;cold;6;2611,327;1
SF01;neo4j;Q01;cold;7;2687,706;1
SF01;neo4j;Q01;cold;8;2708,576;1
SF01;neo4j;Q01;cold;9;2681,169;1
SF01;neo4j;Q01;cold;10;2635,280;1
SF01;neo4j;Q01;cold;11;2637,365;1
SF01;neo4j;Q01;cold;12;2809,910;1
SF01;neo4j;Q01;cold;13;2646,724;1
SF01;neo4j;Q01;cold;14;2680,461;1
SF01;neo4j;Q01;cold;15;2635,303;1
SF01;neo4j;Q01;cold;16;2744,291;1
SF01;neo4j;Q01;cold;17;2629,268;1
SF01;neo4j;Q01;cold;18;2623,107;1
SF01;neo4j;Q01;cold;19;2611,962;1
SF01;neo4j;Q01;cold;20;2685,541;1
SF01;neo4j;Q01;cold;21;2684,295;1
SF01;neo4j;Q01;cold;22;2641,899;1
SF01;neo4j;Q01;cold;23;2673,168;1
SF01;neo4j;Q01;cold;24;2616,455;1
SF01;neo4j;Q01;cold;25;2552,564;1
SF01;neo4j;Q01;cold;26;2383,147;1
SF01;neo4j;Q01;cold;27;2360,493;1
SF01;neo4j;Q01;cold;28;2384,124;1
SF01;neo4j;Q01;cold;29;2473,331;1
SF01;neo4j;Q01;cold;30;2348,165;1
SF01;gql;Q01;cold;1;2356,261;1
SF01;gql;Q01;cold;2;2307,676;1
SF01;gql;Q01;cold;3;2427,633;1
SF01;gql;Q01;cold;4;2365,120;1
SF01;gql;Q01;cold;5;2348,507;1
SF01;gql;Q01;cold;6;2285,713;1
SF01;gql;Q01;cold;7;2453,249;1
SF01;gql;Q01;cold;8;2729,017;1
SF01;gql;Q01;cold;9;2466,215;1
SF01;gql;Q01;cold;10;2369,276;1
SF01;gql;Q01;cold;11;2507,050;1
SF01;gql;Q01;cold;12;2570,316;1
SF01;gql;Q01;cold;13;2322,178;1
SF01;gql;Q01;cold;14;2405,142;1
SF01;gql;Q01;cold;15;2387,274;1
SF01;gql;Q01;cold;16;2284,920;1
SF01;gql;Q01;cold;17;2585,478;1
SF01;gql;Q01;cold;18;2376,417;1
SF01;gql;Q01;cold;19;2414,184;1
SF01;gql;Q01;cold;20;2461,468;1
SF01;gql;Q01;cold;21;2400,664;1
SF01;gql;Q01;cold;22;2314,285;1
SF01;gql;Q01;cold;23;2354,616;1
SF01;gql;Q01;cold;24;2372,736;1
SF01;gql;Q01;cold;25;2345,081;1
SF01;gql;Q01;cold;26;2276,533;1
SF01;gql;Q01;cold;27;2418,300;1
SF01;gql;Q01;cold;28;2309,514;1
SF01;gql;Q01;cold;29;2322,336;1
SF01;gql;Q01;cold;30;2402,102;1
SF01;fuseki;Q02;cold;1;8117,832;2
SF01;fuseki;Q02;cold;2;8337,602;2
SF01;fuseki;Q02;cold;3;8220,338;2
SF01;fuseki;Q02;cold;4;8380,018;2
SF01;fuseki;Q02;cold;5;8318,867;2
SF01;fuseki;Q02;cold;6;8105,806;2
SF01;fuseki;Q02;cold;7;8116,053;2
SF01;fuseki;Q02;cold;8;8111,167;2
SF01;fuseki;Q02;cold;9;8080,095;2
SF01;fuseki;Q02;cold;10;8122,867;2
SF01;fuseki;Q02;cold;11;8131,637;2
SF01;fuseki;Q02;cold;12;7943,287;2
SF01;fuseki;Q02;cold;13;8168,612;2
SF01;fuseki;Q02;cold;14;8141,181;2
SF01;fuseki;Q02;cold;15;8133,417;2
SF01;fuseki;Q02;cold;16;8199,167;2
SF01;fuseki;Q02;cold;17;8095,339;2
SF01;fuseki;Q02;cold;18;8124,501;2
SF01;fuseki;Q02;cold;19;8432,108;2
SF01;fuseki;Q02;cold;20;8380,105;2
SF01;fuseki;Q02;cold;21;8301,825;2
SF01;fuseki;Q02;cold;22;8316,603;2
SF01;fuseki;Q02;cold;23;8040,830;2
SF01;fuseki;Q02;cold;24;8039,306;2
SF01;fuseki;Q02;cold;25;8190,260;2
SF01;fuseki;Q02;cold;26;8127,017;2
SF01;fuseki;Q02;cold;27;10238,051;2
SF01;fuseki;Q02;cold;28;10295,682;2
SF01;fuseki;Q02;cold;29;10129,516;2
SF01;fuseki;Q02;cold;30;10328,507;2
SF01;neo4j;Q02;cold;1;2989,270;2
SF01;neo4j;Q02;cold;2;3119,125;2
SF01;neo4j;Q02;cold;3;2959,897;2
SF01;neo4j;Q02;cold;4;2998,710;2
SF01;neo4j;Q02;cold;5;3096,622;2
SF01;neo4j;Q02;cold;6;2977,016;2
SF01;neo4j;Q02;cold;7;8180,156;2
SF01;neo4j;Q02;cold;8;5904,959;2
SF01;neo4j;Q02;cold;9;3474,495;2
SF01;neo4j;Q02;cold;10;198,842;2
SF01;neo4j;Q02;cold;11;2991,094;2
SF01;neo4j;Q02;cold;12;2891,535;2
SF01;neo4j;Q02;cold;13;2931,427;2
SF01;neo4j;Q02;cold;14;3050,409;2
SF01;neo4j;Q02;cold;15;2945,403;2
SF01;neo4j;Q02;cold;16;2909,036;2
SF01;neo4j;Q02;cold;17;2988,292;2
SF01;neo4j;Q02;cold;18;2944,979;2
SF01;neo4j;Q02;cold;19;3124,414;2
SF01;neo4j;Q02;cold;20;2937,306;2
SF01;neo4j;Q02;cold;21;3039,734;2
SF01;neo4j;Q02;cold;22;3077,060;2
SF01;neo4j;Q02;cold;23;2924,011;2
SF01;neo4j;Q02;cold;24;2975,660;2
SF01;neo4j;Q02;cold;25;2896,866;2
SF01;neo4j;Q02;cold;26;2948,871;2
SF01;neo4j;Q02;cold;27;2969,269;2
SF01;neo4j;Q02;cold;28;4097,518;2
SF01;neo4j;Q02;cold;29;3020,056;2
SF01;neo4j;Q02;cold;30;3190,501;2
SF01;gql;Q02;cold;1;2898,652;2
SF01;gql;Q02;cold;2;3372,673;2
SF01;gql;Q02;cold;3;3092,308;2
SF01;gql;Q02;cold;4;2977,939;2
SF01;gql;Q02;cold;5;2944,288;2
SF01;gql;Q02;cold;6;3058,547;2
SF01;gql;Q02;cold;7;2888,789;2
SF01;gql;Q02;cold;8;2858,631;2
SF01;gql;Q02;cold;9;3013,345;2
SF01;gql;Q02;cold;10;2941,571;2
SF01;gql;Q02;cold;11;2888,979;2
SF01;gql;Q02;cold;12;2866,746;2
SF01;gql;Q02;cold;13;3012,234;2
SF01;gql;Q02;cold;14;2936,491;2
SF01;gql;Q02;cold;15;3054,145;2
SF01;gql;Q02;cold;16;2925,338;2
SF01;gql;Q02;cold;17;3036,094;2
SF01;gql;Q02;cold;18;3048,682;2
SF01;gql;Q02;cold;19;2867,739;2
SF01;gql;Q02;cold;20;3053,141;2
SF01;gql;Q02;cold;21;2862,991;2
SF01;gql;Q02;cold;22;2870,204;2
SF01;gql;Q02;cold;23;2915,949;2
SF01;gql;Q02;cold;24;2995,875;2
SF01;gql;Q02;cold;25;2899,023;2
SF01;gql;Q02;cold;26;2945,426;2
SF01;gql;Q02;cold;27;3038,475;2
SF01;gql;Q02;cold;28;2948,414;2
SF01;gql;Q02;cold;29;2922,852;2
SF01;gql;Q02;cold;30;2998,354;2
SF01;fuseki;Q03;cold;1;1058,860;10
SF01;fuseki;Q03;cold;2;1133,709;10
SF01;fuseki;Q03;cold;3;1100,501;10
SF01;fuseki;Q03;cold;4;1339,812;10
SF01;fuseki;Q03;cold;5;1114,190;10
SF01;fuseki;Q03;cold;6;964,201;10
SF01;fuseki;Q03;cold;7;875,526;10
SF01;fuseki;Q03;cold;8;901,418;10
SF01;fuseki;Q03;cold;9;883,507;10
SF01;fuseki;Q03;cold;10;948,795;10
SF01;fuseki;Q03;cold;11;882,745;10
SF01;fuseki;Q03;cold;12;884,353;10
SF01;fuseki;Q03;cold;13;918,956;10
SF01;fuseki;Q03;cold;14;915,769;10
SF01;fuseki;Q03;cold;15;910,495;10
SF01;fuseki;Q03;cold;16;891,439;10
SF01;fuseki;Q03;cold;17;883,043;10
SF01;fuseki;Q03;cold;18;918,404;10
SF01;fuseki;Q03;cold;19;876,057;10
SF01;fuseki;Q03;cold;20;986,459;10
SF01;fuseki;Q03;cold;21;1105,285;10
SF01;fuseki;Q03;cold;22;943,180;10
SF01;fuseki;Q03;cold;23;976,567;10
SF01;fuseki;Q03;cold;24;958,594;10
SF01;fuseki;Q03;cold;25;961,611;10
SF01;fuseki;Q03;cold;26;830,426;10
SF01;fuseki;Q03;cold;27;889,712;10
SF01;fuseki;Q03;cold;28;969,643;10
SF01;fuseki;Q03;cold;29;940,560;10
SF01;fuseki;Q03;cold;30;855,311;10
SF01;neo4j;Q03;cold;1;2996,988;10
SF01;neo4j;Q03;cold;2;2798,703;10
SF01;neo4j;Q03;cold;3;2868,977;10
SF01;neo4j;Q03;cold;4;2804,445;10
SF01;neo4j;Q03;cold;5;2753,834;10
SF01;neo4j;Q03;cold;6;2825,698;10
SF01;neo4j;Q03;cold;7;2723,638;10
SF01;neo4j;Q03;cold;8;2601,205;10
SF01;neo4j;Q03;cold;9;2658,254;10
SF01;neo4j;Q03;cold;10;2722,017;10
SF01;neo4j;Q03;cold;11;2831,658;10
SF01;neo4j;Q03;cold;12;2694,335;10
SF01;neo4j;Q03;cold;13;2635,411;10
SF01;neo4j;Q03;cold;14;2635,560;10
SF01;neo4j;Q03;cold;15;2738,907;10
SF01;neo4j;Q03;cold;16;2763,623;10
SF01;neo4j;Q03;cold;17;2690,118;10
SF01;neo4j;Q03;cold;18;2684,377;10
SF01;neo4j;Q03;cold;19;2707,409;10
SF01;neo4j;Q03;cold;20;2668,566;10
SF01;neo4j;Q03;cold;21;2650,698;10
SF01;neo4j;Q03;cold;22;2683,730;10
SF01;neo4j;Q03;cold;23;2655,069;10
SF01;neo4j;Q03;cold;24;2668,553;10
SF01;neo4j;Q03;cold;25;2769,571;10
SF01;neo4j;Q03;cold;26;2701,239;10
SF01;neo4j;Q03;cold;27;2665,247;10
SF01;neo4j;Q03;cold;28;2757,396;10
SF01;neo4j;Q03;cold;29;2715,515;10
SF01;neo4j;Q03;cold;30;2591,361;10
SF01;gql;Q03;cold;1;2625,752;10
