scale_factor;engine;query;cache_mode;run_index;elapsed_ms;record_count
SF0.3;fuseki;Q01;warm;1;327,129;1
SF0.3;fuseki;Q01;warm;2;155,896;1
SF0.3;fuseki;Q01;warm;3;366,655;1
SF0.3;fuseki;Q01;warm;4;228,987;1
SF0.3;fuseki;Q01;warm;5;147,891;1
SF0.3;fuseki;Q01;warm;6;614,966;1
SF0.3;fuseki;Q01;warm;7;133,801;1
SF0.3;fuseki;Q01;warm;8;126,086;1
SF0.3;fuseki;Q01;warm;9;168,782;1
SF0.3;fuseki;Q01;warm;10;189,708;1
SF0.3;fuseki;Q01;warm;11;150,221;1
SF0.3;fuseki;Q01;warm;12;184,586;1
SF0.3;fuseki;Q01;warm;13;131,868;1
SF0.3;fuseki;Q01;warm;14;141,718;1
SF0.3;fuseki;Q01;warm;15;167,348;1
SF0.3;fuseki;Q01;warm;16;84,292;1
SF0.3;fuseki;Q01;warm;17;127,348;1
SF0.3;fuseki;Q01;warm;18;121,962;1
SF0.3;fuseki;Q01;warm;19;413,095;1
SF0.3;fuseki;Q01;warm;20;317,896;1
SF0.3;fuseki;Q01;warm;21;147,020;1
SF0.3;fuseki;Q01;warm;22;199,525;1
SF0.3;fuseki;Q01;warm;23;192,925;1
SF0.3;fuseki;Q01;warm;24;248,212;1
SF0.3;fuseki;Q01;warm;25;216,260;1
SF0.3;fuseki;Q01;warm;26;217,423;1
SF0.3;fuseki;Q01;warm;27;222,646;1
SF0.3;fuseki;Q01;warm;28;164,245;1
SF0.3;fuseki;Q01;warm;29;243,917;1
SF0.3;fuseki;Q01;warm;30;200,441;1
SF0.3;neo4j;Q01;warm;1;2,906;1
SF0.3;neo4j;Q01;warm;2;2,721;1
SF0.3;neo4j;Q01;warm;3;3,212;1
SF0.3;neo4j;Q01;warm;4;3,373;1
SF0.3;neo4j;Q01;warm;5;2,698;1
SF0.3;neo4j;Q01;warm;6;2,915;1
SF0.3;neo4j;Q01;warm;7;2,706;1
SF0.3;neo4j;Q01;warm;8;3,428;1
SF0.3;neo4j;Q01;warm;9;3,602;1
SF0.3;neo4j;Q01;warm;10;3,953;1
SF0.3;neo4j;Q01;warm;11;2,649;1
SF0.3;neo4j;Q01;warm;12;3,134;1
SF0.3;neo4j;Q01;warm;13;3,770;1
SF0.3;neo4j;Q01;warm;14;2,867;1
SF0.3;neo4j;Q01;warm;15;2,988;1
SF0.3;neo4j;Q01;warm;16;3,097;1
SF0.3;neo4j;Q01;warm;17;4,161;1
SF0.3;neo4j;Q01;warm;18;4,547;1
SF0.3;neo4j;Q01;warm;19;3,615;1
SF0.3;neo4j;Q01;warm;20;2,740;1
SF0.3;neo4j;Q01;warm;21;2,768;1
SF0.3;neo4j;Q01;warm;22;3,581;1
SF0.3;neo4j;Q01;warm;23;2,778;1
SF0.3;neo4j;Q01;warm;24;2,802;1
SF0.3;neo4j;Q01;warm;25;2,664;1
SF0.3;neo4j;Q01;warm;26;2,657;1
SF0.3;neo4j;Q01;warm;27;4,111;1
SF0.3;neo4j;Q01;warm;28;4,104;1
SF0.3;neo4j;Q01;warm;29;2,597;1
SF0.3;neo4j;Q01;warm;30;2,661;1
SF0.3;gql;Q01;warm;1;3,197;1
SF0.3;gql;Q01;warm;2;4,282;1
SF0.3;gql;Q01;warm;3;3,308;1
SF0.3;gql;Q01;warm;4;3,606;1
SF0.3;gql;Q01;warm;5;2,766;1
SF0.3;gql;Q01;warm;6;2,623;1
SF0.3;gql;Q01;warm;7;3,374;1
SF0.3;gql;Q01;warm;8;27,930;1
SF0.3;gql;Q01;warm;9;2,874;1
SF0.3;gql;Q01;warm;10;3,852;1
SF0.3;gql;Q01;warm;11;2,871;1
SF0.3;gql;Q01;warm;12;2,539;1
SF0.3;gql;Q01;warm;13;2,724;1
SF0.3;gql;Q01;warm;14;3,415;1
SF0.3;gql;Q01;warm;15;4,077;1
SF0.3;gql;Q01;warm;16;3,396;1
SF0.3;gql;Q01;warm;17;2,479;1
SF0.3;gql;Q01;warm;18;2,826;1
SF0.3;gql;Q01;warm;19;2,503;1
SF0.3;gql;Q01;warm;20;3,713;1
SF0.3;gql;Q01;warm;21;2,629;1
SF0.3;gql;Q01;warm;22;2,853;1
SF0.3;gql;Q01;warm;23;2,831;1
SF0.3;gql;Q01;warm;24;2,483;1
SF0.3;gql;Q01;warm;25;4,261;1
SF0.3;gql;Q01;warm;26;3,675;1
SF0.3;gql;Q01;warm;27;2,316;1
SF0.3;gql;Q01;warm;28;2,295;1
SF0.3;gql;Q01;warm;29;2,669;1
SF0.3;gql;Q01;warm;30;3,786;1
SF0.3;fuseki;Q02;warm;1;1168,954;2
SF0.3;fuseki;Q02;warm;2;1077,753;2
SF0.3;fuseki;Q02;warm;3;1206,603;2
SF0.3;fuseki;Q02;warm;4;1222,714;2
SF0.3;fuseki;Q02;warm;5;1129,643;2
SF0.3;fuseki;Q02;warm;6;1186,998;2
SF0.3;fuseki;Q02;warm;7;1093,255;2
SF0.3;fuseki;Q02;warm;8;1170,550;2
SF0.3;fuseki;Q02;warm;9;1066,405;2
SF0.3;fuseki;Q02;warm;10;1068,507;2
SF0.3;fuseki;Q02;warm;11;1188,881;2
SF0.3;fuseki;Q02;warm;12;1241,687;2
SF0.3;fuseki;Q02;warm;13;1198,762;2
SF0.3;fuseki;Q02;warm;14;1096,764;2
SF0.3;fuseki;Q02;warm;15;1169,742;2
SF0.3;fuseki;Q02;warm;16;1124,061;2
SF0.3;fuseki;Q02;warm;17;1071,071;2
SF0.3;fuseki;Q02;warm;18;1148,062;2
SF0.3;fuseki;Q02;warm;19;1085,506;2
SF0.3;fuseki;Q02;warm;20;1160,710;2
SF0.3;fuseki;Q02;warm;21;1071,300;2
SF0.3;fuseki;Q02;warm;22;1094,187;2
SF0.3;fuseki;Q02;warm;23;1129,046;2
SF0.3;fuseki;Q02;warm;24;1092,601;2
SF0.3;fuseki;Q02;warm;25;1245,119;2
SF0.3;fuseki;Q02;warm;26;1080,789;2
SF0.3;fuseki;Q02;warm;27;1135,487;2
SF0.3;fuseki;Q02;warm;28;1058,606;2
SF0.3;fuseki;Q02;warm;29;1107,050;2
SF0.3;fuseki;Q02;warm;30;1399,813;2
SF0.3;neo4j;Q02;warm;1;22,377;2
SF0.3;neo4j;Q02;warm;2;21,335;2
SF0.3;neo4j;Q02;warm;3;21,388;2
SF0.3;neo4j;Q02;warm;4;21,093;2
SF0.3;neo4j;Q02;warm;5;21,972;2
SF0.3;neo4j;Q02;warm;6;21,187;2
SF0.3;neo4j;Q02;warm;7;21,902;2
SF0.3;neo4j;Q02;warm;8;21,277;2
SF0.3;neo4j;Q02;warm;9;21,056;2
SF0.3;neo4j;Q02;warm;10;21,437;2
SF0.3;neo4j;Q02;warm;11;20,157;2
SF0.3;neo4j;Q02;warm;12;46,001;2
SF0.3;neo4j;Q02;warm;13;23,540;2
SF0.3;neo4j;Q02;warm;14;22,098;2
SF0.3;neo4j;Q02;warm;15;21,492;2
SF0.3;neo4j;Q02;warm;16;21,393;2
SF0.3;neo4j;Q02;warm;17;21,714;2
SF0.3;neo4j;Q02;warm;18;20,769;2
SF0.3;neo4j;Q02;warm;19;21,418;2
SF0.3;neo4j;Q02;warm;20;21,771;2
SF0.3;neo4j;Q02;warm;21;20,983;2
SF0.3;neo4j;Q02;warm;22;23,130;2
SF0.3;neo4j;Q02;warm;23;20,480;2
SF0.3;neo4j;Q02;warm;24;20,444;2
SF0.3;neo4j;Q02;warm;25;21,083;2
SF0.3;neo4j;Q02;warm;26;20,941;2
SF0.3;neo4j;Q02;warm;27;19,992;2
SF0.3;neo4j;Q02;warm;28;21,877;2
SF0.3;neo4j;Q02;warm;29;20,064;2
SF0.3;neo4j;Q02;warm;30;20,926;2
SF0.3;gql;Q02;warm;1;20,333;2
SF0.3;gql;Q02;warm;2;20,561;2
SF0.3;gql;Q02;warm;3;26,062;2
SF0.3;gql;Q02;warm;4;20,806;2
SF0.3;gql;Q02;warm;5;26,071;2
SF0.3;gql;Q02;warm;6;20,557;2
SF0.3;gql;Q02;warm;7;22,234;2
SF0.3;gql;Q02;warm;8;20,786;2
SF0.3;gql;Q02;warm;9;20,174;2
SF0.3;gql;Q02;warm;10;21,233;2
SF0.3;gql;Q02;warm;11;21,274;2
SF0.3;gql;Q02;warm;12;22,007;2
SF0.3;gql;Q02;warm;13;20,673;2
SF0.3;gql;Q02;warm;14;20,599;2
SF0.3;gql;Q02;warm;15;22,235;2
SF0.3;gql;Q02;warm;16;20,834;2
SF0.3;gql;Q02;warm;17;25,120;2
SF0.3;gql;Q02;warm;18;21,984;2
SF0.3;gql;Q02;warm;19;22,466;2
SF0.3;gql;Q02;warm;20;21,511;2
SF0.3;gql;Q02;warm;21;20,428;2
SF0.3;gql;Q02;warm;22;21,458;2
SF0.3;gql;Q02;warm;23;22,490;2
SF0.3;gql;Q02;warm;24;20,549;2
SF0.3;gql;Q02;warm;25;20,634;2
SF0.3;gql;Q02;warm;26;19,898;2
SF0.3;gql;Q02;warm;27;21,684;2
SF0.3;gql;Q02;warm;28;22,505;2
SF0.3;gql;Q02;warm;29;20,874;2
SF0.3;gql;Q02;warm;30;20,632;2
SF0.3;fuseki;Q03;warm;1;343,167;10
SF0.3;fuseki;Q03;warm;2;365,254;10
SF0.3;fuseki;Q03;warm;3;326,982;10
SF0.3;fuseki;Q03;warm;4;314,137;10
SF0.3;fuseki;Q03;warm;5;298,351;10
SF0.3;fuseki;Q03;warm;6;373,877;10
SF0.3;fuseki;Q03;warm;7;329,827;10
SF0.3;fuseki;Q03;warm;8;310,517;10
SF0.3;fuseki;Q03;warm;9;308,488;10
SF0.3;fuseki;Q03;warm;10;354,590;10
SF0.3;fuseki;Q03;warm;11;342,880;10
SF0.3;fuseki;Q03;warm;12;321,887;10
SF0.3;fuseki;Q03;warm;13;314,090;10
SF0.3;fuseki;Q03;warm;14;348,273;10
SF0.3;fuseki;Q03;warm;15;301,280;10
SF0.3;fuseki;Q03;warm;16;353,740;10
SF0.3;fuseki;Q03;warm;17;312,632;10
SF0.3;fuseki;Q03;warm;18;297,567;10
SF0.3;fuseki;Q03;warm;19;308,294;10
SF0.3;fuseki;Q03;warm;20;303,577;10
SF0.3;fuseki;Q03;warm;21;363,871;10
SF0.3;fuseki;Q03;warm;22;320,315;10
SF0.3;fuseki;Q03;warm;23;301,576;10
SF0.3;fuseki;Q03;warm;24;303,603;10
SF0.3;fuseki;Q03;warm;25;312,332;10
SF0.3;fuseki;Q03;warm;26;356,037;10
SF0.3;fuseki;Q03;warm;27;365,110;10
SF0.3;fuseki;Q03;warm;28;299,029;10
SF0.3;fuseki;Q03;warm;29;304,342;10
SF0.3;fuseki;Q03;warm;30;313,467;10
SF0.3;neo4j;Q03;warm;1;72,994;10
SF0.3;neo4j;Q03;warm;2;70,609;10
SF0.3;neo4j;Q03;warm;3;47,943;10
SF0.3;neo4j;Q03;warm;4;50,663;10
SF0.3;neo4j;Q03;warm;5;50,651;10
SF0.3;neo4j;Q03;warm;6;48,573;10
SF0.3;neo4j;Q03;warm;7;53,134;10
SF0.3;neo4j;Q03;warm;8;49,782;10
SF0.3;neo4j;Q03;warm;9;52,639;10
SF0.3;neo4j;Q03;warm;10;76,681;10
SF0.3;neo4j;Q03;warm;11;66,758;10
SF0.3;neo4j;Q03;warm;12;68,010;10
SF0.3;neo4j;Q03;warm;13;70,813;10
SF0.3;neo4j;Q03;warm;14;129,296;10
SF0.3;neo4j;Q03;warm;15;64,419;10
SF0.3;neo4j;Q03;warm;16;75,865;10
SF0.3;neo4j;Q03;warm;17;71,312;10
SF0.3;neo4j;Q03;warm;18;61,693;10
SF0.3;neo4j;Q03;warm;19;57,547;10
SF0.3;neo4j;Q03;warm;20;58,637;10
SF0.3;neo4j;Q03;warm;21;50,580;10
SF0.3;neo4j;Q03;warm;22;58,980;10
SF0.3;neo4j;Q03;warm;23;51,855;10
SF0.3;neo4j;Q03;warm;24;54,999;10
SF0.3;neo4j;Q03;warm;25;51,408;10
SF0.3;neo4j;Q03;warm;26;50,185;10
SF0.3;neo4j;Q03;warm;27;51,792;10
SF0.3;neo4j;Q03;warm;28;55,429;10
SF0.3;neo4j;Q03;warm;29;49,456;10
SF0.3;neo4j;Q03;warm;30;51,063;10
SF0.3;gql;Q03;warm;1;56,083;10
SF0.3;gql;Q03;warm;2;52,693;10
SF0.3;gql;Q03;warm;3;50,763;10
SF0.3;gql;Q03;warm;4;64,536;10
SF0.3;gql;Q03;warm;5;46,704;10
SF0.3;gql;Q03;warm;6;47,829;10
SF0.3;gql;Q03;warm;7;47,204;10
SF0.3;gql;Q03;warm;8;51,910;10
SF0.3;gql;Q03;warm;9;49,426;10
SF0.3;gql;Q03;warm;10;47,302;10
SF0.3;gql;Q03;warm;11;47,881;10
SF0.3;gql;Q03;warm;12;48,664;10
SF0.3;gql;Q03;warm;13;46,390;10
SF0.3;gql;Q03;warm;14;49,664;10
SF0.3;gql;Q03;warm;15;47,847;10
SF0.3;gql;Q03;warm;16;50,168;10
SF0.3;gql;Q03;warm;17;47,906;10
SF0.3;gql;Q03;warm;18;47,025;10
SF0.3;gql;Q03;warm;19;43,769;10
SF0.3;gql;Q03;warm;20;48,116;10
SF0.3;gql;Q03;warm;21;45,032;10
SF0.3;gql;Q03;warm;22;47,870;10
SF0.3;gql;Q03;warm;23;46,934;10
SF0.3;gql;Q03;warm;24;50,673;10
SF0.3;gql;Q03;warm;25;52,267;10
SF0.3;gql;Q03;warm;26;54,001;10
SF0.3;gql;Q03;warm;27;55,601;10
SF0.3;gql;Q03;warm;28;50,605;10
SF0.3;gql;Q03;warm;29;49,062;10
SF0.3;gql;Q03;warm;30;46,093;10
