scale_factor;engine;query;cache_mode;run_index;elapsed_ms;record_count
SF0.1;fuseki;Q01;warm;1;33,750;1
SF0.1;fuseki;Q01;warm;2;11,175;1
SF0.1;fuseki;Q01;warm;3;15,124;1
SF0.1;fuseki;Q01;warm;4;12,728;1
SF0.1;fuseki;Q01;warm;5;30,804;1
SF0.1;fuseki;Q01;warm;6;66,497;1
SF0.1;fuseki;Q01;warm;7;17,411;1
SF0.1;fuseki;Q01;warm;8;31,521;1
SF0.1;fuseki;Q01;warm;9;26,498;1
SF0.1;fuseki;Q01;warm;10;30,801;1
SF0.1;fuseki;Q01;warm;11;30,753;1
SF0.1;fuseki;Q01;warm;12;22,017;1
SF0.1;fuseki;Q01;warm;13;24,008;1
SF0.1;fuseki;Q01;warm;14;44,304;1
SF0.1;fuseki;Q01;warm;15;35,532;1
SF0.1;fuseki;Q01;warm;16;13,234;1
SF0.1;fuseki;Q01;warm;17;14,726;1
SF0.1;fuseki;Q01;warm;18;15,757;1
SF0.1;fuseki;Q01;warm;19;14,031;1
SF0.1;fuseki;Q01;warm;20;159,349;1
SF0.1;fuseki;Q01;warm;21;12,760;1
SF0.1;fuseki;Q01;warm;22;12,987;1
SF0.1;fuseki;Q01;warm;23;14,459;1
SF0.1;fuseki;Q01;warm;24;14,727;1
SF0.1;fuseki;Q01;warm;25;37,473;1
SF0.1;fuseki;Q01;warm;26;40,935;1
SF0.1;fuseki;Q01;warm;27;26,679;1
SF0.1;fuseki;Q01;warm;28;15,122;1
SF0.1;fuseki;Q01;warm;29;63,164;1
SF0.1;fuseki;Q01;warm;30;12,391;1
SF0.1;neo4j;Q01;warm;1;7,738;1
SF0.1;neo4j;Q01;warm;2;64,754;1
SF0.1;neo4j;Q01;warm;3;2,711;1
SF0.1;neo4j;Q01;warm;4;2,863;1
SF0.1;neo4j;Q01;warm;5;4,679;1
SF0.1;neo4j;Q01;warm;6;4,174;1
SF0.1;neo4j;Q01;warm;7;2,679;1
SF0.1;neo4j;Q01;warm;8;2,870;1
SF0.1;neo4j;Q01;warm;9;12,472;1
SF0.1;neo4j;Q01;warm;10;34,597;1
SF0.1;neo4j;Q01;warm;11;15,704;1
SF0.1;neo4j;Q01;warm;12;3,509;1
SF0.1;neo4j;Q01;warm;13;4,731;1
SF0.1;neo4j;Q01;warm;14;3,833;1
SF0.1;neo4j;Q01;warm;15;3,796;1
SF0.1;neo4j;Q01;warm;16;7,424;1
SF0.1;neo4j;Q01;warm;17;4,111;1
SF0.1;neo4j;Q01;warm;18;3,227;1
SF0.1;neo4j;Q01;warm;19;9,225;1
SF0.1;neo4j;Q01;warm;20;4,441;1
SF0.1;neo4j;Q01;warm;21;3,260;1
SF0.1;neo4j;Q01;warm;22;3,642;1
SF0.1;neo4j;Q01;warm;23;5,043;1
SF0.1;neo4j;Q01;warm;24;6,267;1
SF0.1;neo4j;Q01;warm;25;5,107;1
SF0.1;neo4j;Q01;warm;26;6,781;1
SF0.1;neo4j;Q01;warm;27;2,943;1
SF0.1;neo4j;Q01;warm;28;3,876;1
SF0.1;neo4j;Q01;warm;29;3,759;1
SF0.1;neo4j;Q01;warm;30;5,373;1
SF0.1;gql;Q01;warm;1;2,922;1
SF0.1;gql;Q01;warm;2;4,416;1
SF0.1;gql;Q01;warm;3;4,068;1
SF0.1;gql;Q01;warm;4;3,702;1
SF0.1;gql;Q01;warm;5;4,731;1
SF0.1;gql;Q01;warm;6;7,659;1
SF0.1;gql;Q01;warm;7;5,573;1
SF0.1;gql;Q01;warm;8;2242,922;1
SF0.1;gql;Q01;warm;9;3,800;1
SF0.1;gql;Q01;warm;10;5,701;1
SF0.1;gql;Q01;warm;11;7,845;1
SF0.1;gql;Q01;warm;12;5,049;1
SF0.1;gql;Q01;warm;13;5,811;1
SF0.1;gql;Q01;warm;14;3,092;1
SF0.1;gql;Q01;warm;15;2,997;1
SF0.1;gql;Q01;warm;16;4,042;1
SF0.1;gql;Q01;warm;17;3,634;1
SF0.1;gql;Q01;warm;18;4,032;1
SF0.1;gql;Q01;warm;19;2,920;1
SF0.1;gql;Q01;warm;20;2,636;1
SF0.1;gql;Q01;warm;21;4,507;1
SF0.1;gql;Q01;warm;22;4,519;1
SF0.1;gql;Q01;warm;23;3,631;1
SF0.1;gql;Q01;warm;24;3,023;1
SF0.1;gql;Q01;warm;25;4,346;1
SF0.1;gql;Q01;warm;26;4,281;1
SF0.1;gql;Q01;warm;27;5,471;1
SF0.1;gql;Q01;warm;28;5,223;1
SF0.1;gql;Q01;warm;29;4,206;1
SF0.1;gql;Q01;warm;30;4,349;1
SF0.1;fuseki;Q02;warm;1;612,886;2
SF0.1;fuseki;Q02;warm;2;863,341;2
SF0.1;fuseki;Q02;warm;3;1049,238;2
SF0.1;fuseki;Q02;warm;4;414,232;2
SF0.1;fuseki;Q02;warm;5;529,178;2
SF0.1;fuseki;Q02;warm;6;594,188;2
SF0.1;fuseki;Q02;warm;7;461,408;2
SF0.1;fuseki;Q02;warm;8;515,682;2
SF0.1;fuseki;Q02;warm;9;566,862;2
SF0.1;fuseki;Q02;warm;10;491,614;2
SF0.1;fuseki;Q02;warm;11;415,797;2
SF0.1;fuseki;Q02;warm;12;559,448;2
SF0.1;fuseki;Q02;warm;13;492,988;2
SF0.1;fuseki;Q02;warm;14;418,549;2
SF0.1;fuseki;Q02;warm;15;458,000;2
SF0.1;fuseki;Q02;warm;16;378,110;2
SF0.1;fuseki;Q02;warm;17;374,330;2
SF0.1;fuseki;Q02;warm;18;413,125;2
SF0.1;fuseki;Q02;warm;19;410,024;2
SF0.1;fuseki;Q02;warm;20;382,199;2
SF0.1;fuseki;Q02;warm;21;453,894;2
SF0.1;fuseki;Q02;warm;22;450,365;2
SF0.1;fuseki;Q02;warm;23;411,964;2
SF0.1;fuseki;Q02;warm;24;359,074;2
SF0.1;fuseki;Q02;warm;25;354,112;2
SF0.1;fuseki;Q02;warm;26;354,187;2
SF0.1;fuseki;Q02;warm;27;368,667;2
SF0.1;fuseki;Q02;warm;28;372,342;2
SF0.1;fuseki;Q02;warm;29;461,871;2
SF0.1;fuseki;Q02;warm;30;435,822;2
SF0.1;neo4j;Q02;warm;1;11,659;2
SF0.1;neo4j;Q02;warm;2;16,770;2
SF0.1;neo4j;Q02;warm;3;10,110;2
SF0.1;neo4j;Q02;warm;4;10,242;2
SF0.1;neo4j;Q02;warm;5;10,501;2
SF0.1;neo4j;Q02;warm;6;10,478;2
SF0.1;neo4j;Q02;warm;7;12,979;2
SF0.1;neo4j;Q02;warm;8;9,959;2
SF0.1;neo4j;Q02;warm;9;11,156;2
SF0.1;neo4j;Q02;warm;10;11,436;2
SF0.1;neo4j;Q02;warm;11;23,521;2
SF0.1;neo4j;Q02;warm;12;9,330;2
SF0.1;neo4j;Q02;warm;13;10,732;2
SF0.1;neo4j;Q02;warm;14;11,502;2
SF0.1;neo4j;Q02;warm;15;9,432;2
SF0.1;neo4j;Q02;warm;16;11,405;2
SF0.1;neo4j;Q02;warm;17;11,238;2
SF0.1;neo4j;Q02;warm;18;10,028;2
SF0.1;neo4j;Q02;warm;19;11,793;2
SF0.1;neo4j;Q02;warm;20;11,491;2
SF0.1;neo4j;Q02;warm;21;10,386;2
SF0.1;neo4j;Q02;warm;22;11,526;2
SF0.1;neo4j;Q02;warm;23;10,055;2
SF0.1;neo4j;Q02;warm;24;9,442;2
SF0.1;neo4j;Q02;warm;25;9,342;2
SF0.1;neo4j;Q02;warm;26;11,784;2
SF0.1;neo4j;Q02;warm;27;9,207;2
SF0.1;neo4j;Q02;warm;28;9,931;2
SF0.1;neo4j;Q02;warm;29;10,771;2
SF0.1;neo4j;Q02;warm;30;13,276;2
SF0.1;gql;Q02;warm;1;18,561;2
SF0.1;gql;Q02;warm;2;10,587;2
SF0.1;gql;Q02;warm;3;11,793;2
SF0.1;gql;Q02;warm;4;10,688;2
SF0.1;gql;Q02;warm;5;9,108;2
SF0.1;gql;Q02;warm;6;9,097;2
SF0.1;gql;Q02;warm;7;10,172;2
SF0.1;gql;Q02;warm;8;10,059;2
SF0.1;gql;Q02;warm;9;11,645;2
SF0.1;gql;Q02;warm;10;8,813;2
SF0.1;gql;Q02;warm;11;10,921;2
SF0.1;gql;Q02;warm;12;9,536;2
SF0.1;gql;Q02;warm;13;9,646;2
SF0.1;gql;Q02;warm;14;9,747;2
SF0.1;gql;Q02;warm;15;8,842;2
SF0.1;gql;Q02;warm;16;10,761;2
SF0.1;gql;Q02;warm;17;9,895;2
SF0.1;gql;Q02;warm;18;10,634;2
SF0.1;gql;Q02;warm;19;46,490;2
SF0.1;gql;Q02;warm;20;9,234;2
SF0.1;gql;Q02;warm;21;9,430;2
SF0.1;gql;Q02;warm;22;11,271;2
SF0.1;gql;Q02;warm;23;9,010;2
SF0.1;gql;Q02;warm;24;11,138;2
SF0.1;gql;Q02;warm;25;10,608;2
SF0.1;gql;Q02;warm;26;9,639;2
SF0.1;gql;Q02;warm;27;11,647;2
SF0.1;gql;Q02;warm;28;11,129;2
SF0.1;gql;Q02;warm;29;9,170;2
SF0.1;gql;Q02;warm;30;10,391;2
SF0.1;fuseki;Q03;warm;1;89,331;10
SF0.1;fuseki;Q03;warm;2;92,682;10
SF0.1;fuseki;Q03;warm;3;124,812;10
SF0.1;fuseki;Q03;warm;4;110,313;10
SF0.1;fuseki;Q03;warm;5;137,321;10
SF0.1;fuseki;Q03;warm;6;120,176;10
SF0.1;fuseki;Q03;warm;7;115,874;10
SF0.1;fuseki;Q03;warm;8;124,220;10
SF0.1;fuseki;Q03;warm;9;112,940;10
SF0.1;fuseki;Q03;warm;10;108,098;10
SF0.1;fuseki;Q03;warm;11;111,092;10
SF0.1;fuseki;Q03;warm;12;95,400;10
SF0.1;fuseki;Q03;warm;13;129,388;10
SF0.1;fuseki;Q03;warm;14;90,526;10
SF0.1;fuseki;Q03;warm;15;88,737;10
SF0.1;fuseki;Q03;warm;16;88,170;10
SF0.1;fuseki;Q03;warm;17;89,544;10
SF0.1;fuseki;Q03;warm;18;146,598;10
SF0.1;fuseki;Q03;warm;19;106,767;10
SF0.1;fuseki;Q03;warm;20;92,604;10
SF0.1;fuseki;Q03;warm;21;90,243;10
SF0.1;fuseki;Q03;warm;22;102,961;10
SF0.1;fuseki;Q03;warm;23;91,352;10
SF0.1;fuseki;Q03;warm;24;88,871;10
