scale_factor;engine;query;cache_mode;warmups;repeats;record_count_min;record_count_max;record_count_stable;mean_ms;median_ms;stddev_ms;variance_ms2;min_ms;max_ms;range_ms;coefficient_of_variation;p25_ms;p50_ms;p75_ms;p90_ms;p95_ms;p99_ms
SF03;fuseki;Q01;cold;0;30;1;1;True;465,598;457,199;34,812;1211,900;431,294;613,223;181,929;0,075;443,803;457,199;473,171;491,201;511,696;584,202
SF03;neo4j;Q01;cold;0;30;1;1;True;2332,593;2373,049;245,791;60413,099;1051,203;2494,907;1443,704;0,105;2345,387;2373,049;2395,232;2430,352;2438,937;2480,601
SF03;gql;Q01;cold;0;30;1;1;True;2409,781;2396,172;101,152;10231,705;2315,175;2905,525;590,349;0,042;2359,290;2396,172;2419,071;2452,686;2470,839;2779,878
SF03;fuseki;Q02;cold;0;30;2;2;True;23236,254;23193,398;196,402;38573,809;22826,721;23654,919;828,197;0,008;23132,370;23193,398;23385,378;23507,622;23572,768;23637,931
SF03;neo4j;Q02;cold;0;30;2;2;True;2680,784;2665,619;60,938;3713,465;2591,769;2911,332;319,563;0,023;2647,480;2665,619;2706,974;2742,342;2759,797;2868,297
SF03;gql;Q02;cold;0;30;2;2;True;2678,508;2655,723;84,056;7065,455;2598,463;3031,002;432,539;0,031;2623,492;2655,723;2719,324;2750,471;2766,956;2955,420
SF03;fuseki;Q03;cold;0;30;10;10;True;1575,199;1561,235;68,815;4735,456;1499,893;1778,307;278,415;0,044;1527,256;1561,235;1604,580;1641,538;1727,834;1770,810
SF03;neo4j;Q03;cold;0;30;10;10;True;2859,321;2850,858;71,504;5112,873;2757,550;3088,424;330,874;0,025;2814,770;2850,858;2897,347;2926,725;2974,198;3063,780
SF03;gql;Q03;cold;0;30;10;10;True;2855,350;2860,499;59,503;3540,615;2733,765;3030,795;297,030;0,021;2814,971;2860,499;2884,728;2915,097;2943,890;3007,206
SF03;fuseki;Q04;cold;0;30;10;10;True;543,969;535,438;36,584;1338,384;490,857;647,752;156,894;0,067;518,317;535,438;557,798;579,611;621,741;645,304
SF03;neo4j;Q04;cold;0;30;10;10;True;2425,077;2420,004;66,698;4448,681;2357,766;2685,602;327,836;0,028;2377,352;2420,004;2450,523;2476,667;2518,313;2639,349
SF03;gql;Q04;cold;0;30;10;10;True;2437,716;2427,116;64,974;4221,683;2323,197;2605,289;282,092;0,027;2396,598;2427,116;2459,481;2525,227;2566,970;2600,033
SF03;fuseki;Q05;cold;0;30;10;10;True;1647,473;1634,002;95,317;9085,338;1546,512;2058,899;512,387;0,058;1589,361;1634,002;1664,122;1731,455;1743,982;1969,592
SF03;neo4j;Q05;cold;0;30;10;10;True;2969,545;2955,434;75,821;5748,850;2889,901;3250,591;360,690;0,026;2916,115;2955,434;3002,329;3040,427;3081,766;3207,976
SF03;gql;Q05;cold;0;30;10;10;True;2960,062;2962,836;45,730;2091,195;2866,003;3059,843;193,840;0,015;2932,787;2962,836;2984,287;3014,475;3028,429;3053,967
SF03;fuseki;Q06;cold;0;30;10;10;True;12607,306;12580,629;139,117;19353,643;12380,447;12903,402;522,954;0,011;12494,571;12580,629;12695,850;12810,431;12833,663;12884,211
SF03;neo4j;Q06;cold;0;30;10;10;True;3214,425;3208,732;75,324;5673,632;3093,855;3440,205;346,349;0,023;3159,103;3208,732;3266,823;3299,670;3310,550;3403,176
SF03;gql;Q06;cold;0;30;10;10;True;3269,730;3229,078;254,893;64970,631;3095,721;4567,277;1471,555;0,078;3182,452;3229,078;3265,599;3349,044;3373,370;4221,883
SF03;fuseki;Q07;cold;0;30;10;10;True;5759,281;5744,224;157,535;24817,397;5471,531;6064,240;592,709;0,027;5658,067;5744,224;5852,544;5995,689;6032,189;6060,584
SF03;neo4j;Q07;cold;0;30;10;10;True;2795,697;2784,845;54,947;3019,145;2678,787;2913,371;234,585;0,020;2765,373;2784,845;2828,958;2879,214;2899,089;2912,515
SF03;gql;Q07;cold;0;30;10;10;True;2789,445;2787,634;45,215;2044,366;2685,903;2878,891;192,988;0,016;2761,206;2787,634;2823,825;2855,671;2862,442;2874,789
SF03;fuseki;Q08;cold;0;30;10;10;True;9640,373;9552,437;475,751;226338,858;9013,213;11601,390;2588,177;0,049;9393,617;9552,437;9706,534;10083,858;10326,865;11248,579
SF03;neo4j;Q08;cold;0;30;10;10;True;3566,985;3538,709;165,709;27459,350;3442,080;4305,096;863,016;0,046;3506,599;3538,709;3561,834;3571,361;3805,483;4208,690
SF03;gql;Q08;cold;0;30;10;10;True;3534,886;3535,103;64,406;4148,101;3397,953;3659,312;261,360;0,018;3495,843;3535,103;3586,167;3608,143;3619,730;3649,710
SF03;fuseki;Q09;cold;0;30;10;10;True;17417,324;17263,678;689,167;474951,005;16376,783;20180,746;3803,963;0,040;17140,276;17263,678;17506,984;17986,805;18457,497;19719,965
SF03;neo4j;Q09;cold;0;30;10;10;True;3457,022;3426,677;133,684;17871,377;3303,346;3972,108;668,762;0,039;3378,724;3426,677;3490,076;3549,074;3690,382;3902,153
SF03;gql;Q09;cold;0;30;10;10;True;3417,272;3408,397;58,821;3459,879;3325,864;3546,012;220,148;0,017;3380,407;3408,397;3448,908;3501,282;3515,476;3538,153
SF03;fuseki;Q10;cold;0;30;10;10;True;1087,902;1070,415;82,327;6777,691;1001,037;1381,962;380,924;0,076;1043,929;1070,415;1091,989;1156,126;1266,305;1359,320
SF03;neo4j;Q10;cold;0;30;10;10;True;3172,093;3148,292;127,821;16338,127;3012,494;3679,216;666,722;0,040;3117,456;3148,292;3169,607;3292,655;3382,733;3609,323
SF03;gql;Q10;cold;0;30;10;10;True;3142,683;3119,412;177,077;31356,122;3003,361;4030,851;1027,490;0,056;3068,999;3119,412;3146,985;3211,049;3214,116;3794,540
